#{"t_start": 1650950673.583027, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
138,8019,43.318186
502,6838,64.355289
664,8010,91.705535
238,212,92.415252
633,690,94.56367
596,450,96.158509
770,1468,100.473991
710,680,102.909276
214,206,103.611189
579,532,105.140555
998,1601,110.436541
771,1246,114.962867
1873,1290,118.962216
993,1814,125.568667
1286,1234,129.223534
584,630,131.618123
1241,2623,139.740223
250,140,140.219939
977,1860,146.274739
620,422,147.52842
245,144,148.073925
231,172,148.768097
670,8010,174.965931
637,600,176.722203
629,452,178.162874
794,766,180.583935
587,528,182.310688
229,182,182.832723
215,194,183.391257
602,494,184.884127
771,806,187.622474
229,196,188.182006
604,512,189.723278
1798,1824,195.688086
1301,1186,199.609531
596,592,201.298997
1045,734,203.385675
208,198,204.133642
1017,1073,207.613742
989,1868,213.375029
619,338,214.502084
760,818,216.846429
1630,1684,222.165087
236,158,222.788866
751,594,224.535907
635,642,226.469098
636,620,228.476466
242,166,228.849689
625,406,230.157304
610,470,231.595837
636,614,233.656168
758,644,235.77426
232,166,236.435997
236,150,237.106104
1336,923,239.839469
1121,1100,243.135295
611,386,244.394452
241,184,244.916335
630,396,246.092953
230,180,246.632627
601,470,248.227684
230,170,248.718448
1131,920,251.485892
214,192,252.130206
605,432,253.308465
1032,998,256.301261
620,358,257.49644
803,800,259.748714
614,496,261.590051
663,8010,286.416726
210,192,286.964261
230,168,287.445333
1029,1076,290.70788
1290,1272,294.529708
221,158,295.177946
995,1684,300.437058
1130,946,303.185194
1019,1128,306.954733
1296,1036,310.004667
612,426,311.454247
581,508,313.246977
1021,977,316.401329
227,166,316.886491
618,406,318.117234
1052,585,320.000031
628,362,321.132999
1318,894,324.01671
232,146,324.455302
809,698,326.67139
599,456,327.916116
221,176,328.453299
623,476,329.987653
1042,792,332.714887
244,138,333.031549
632,356,334.06912
627,380,335.329629
809,682,337.287275
234,162,337.802174
235,156,338.44682
597,456,339.883489
229,168,340.425191
1133,714,342.784432
1040,837,345.182938
624,430,346.521373
217,182,347.080027
649,360,348.133336
1032,855,350.957231
770,658,353.304072
591,456,354.861529
603,496,356.282159
583,476,357.831134
633,396,359.113342
230,160,359.603034
582,484,361.382664
241,146,361.735754
593,492,363.962761
231,164,364.595069
1319,832,367.51213
632,314,368.369663
1042,779,371.15314
231,160,371.786511
1040,838,374.221013
230,160,374.750596
1031,871,377.606674
618,428,379.115314
230,176,379.734645
1296,1104,383.019869
1044,730,385.230054
603,458,386.719898
606,438,388.238632
1039,776,390.672516
744,646,392.468298
240,148,393.06801
748,750,395.43124
635,648,397.27765
