#{"t_start": 1650950673.72477, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
365,8078,43.310116
372,6918,64.529997
227,184,65.053515
633,666,67.636842
225,250,69.300771
790,1068,72.769486
529,1524,77.647584
682,2918,86.789092
698,796,89.605244
1245,2231,97.346204
227,220,97.951586
235,158,98.418346
710,1096,101.889997
619,424,103.382649
565,850,105.896717
213,198,106.456955
983,1644,112.092562
239,218,113.461544
690,1740,118.547559
604,430,120.80655
771,1440,125.419943
975,1952,131.906469
1284,1427,136.119789
702,1390,140.529989
947,2456,148.603421
1535,1120,152.510931
1087,1552,157.25741
625,848,160.098078
631,402,161.314356
222,210,161.917967
1028,750,164.347287
807,714,166.650124
234,166,167.381165
605,464,168.98589
1299,1212,172.966182
579,466,174.589093
1021,997,177.632172
629,326,178.675015
1006,1506,183.258462
744,770,185.628265
1404,1032,188.964702
230,142,189.303826
226,156,189.806294
1043,719,192.407382
197,240,193.136522
1024,833,195.712926
616,394,196.953578
1302,985,200.180924
634,352,201.213078
615,416,202.428607
588,614,204.501565
235,168,204.999234
1099,1360,209.254403
637,570,211.021649
233,164,211.393396
1296,1238,215.334728
1046,713,217.395169
702,1526,222.467389
608,470,223.741526
723,750,226.109967
1057,755,228.423486
1031,807,230.897275
1403,928,233.766747
630,396,234.882187
231,156,235.80906
608,448,237.296517
633,698,239.499229
232,162,240.000449
628,418,241.168871
734,978,244.252709
1541,1166,247.936341
608,472,249.277323
611,418,250.45938
231,162,251.103758
575,574,252.832644
633,352,253.746473
1001,1568,258.489926
1145,586,260.35165
231,164,260.985523
1050,615,262.745893
624,444,264.327734
585,452,265.654761
230,160,266.011342
1015,1108,269.619665
1126,960,272.349159
762,604,274.433319
1304,976,277.329514
609,426,278.850535
230,170,279.34198
603,390,280.575478
618,376,281.713432
1319,1026,284.988763
607,468,286.367734
1050,622,288.152729
628,406,289.344537
663,8014,314.463093
1023,991,317.678319
619,420,318.89455
773,618,321.022173
1017,1137,324.563888
1131,790,327.0846
608,428,328.301576
590,442,329.567622
231,174,330.183008
1022,901,333.257869
807,734,335.544916
1300,1164,339.19882
219,180,339.73277
624,366,340.955835
583,468,342.357399
1131,882,345.024199
1039,855,347.577616
741,594,349.569685
229,168,350.102757
739,658,352.520625
243,146,352.987343
1838,1196,356.68097
804,794,359.301746
795,660,361.509202
223,172,362.177415
597,616,364.742551
616,418,366.396127
636,636,368.240848
1032,733,370.905807
627,414,372.260122
624,472,373.70498
748,622,375.932003
1037,768,378.19465
1038,677,380.324946
230,162,380.804606
624,484,382.208915
231,148,382.817257
1304,1068,386.104441
605,468,387.82655
1138,688,389.774746
1292,1222,393.522989
1027,1124,396.994169
1040,810,399.44853
608,446,400.950182
243,132,401.537728
222,180,402.069338
229,164,402.481396
628,362,403.807072
222,178,404.47529
598,458,405.731249
1023,938,408.820113
1030,869,411.885413
1028,834,415.026007
232,162,415.78225
614,452,417.179316
216,188,417.863
624,472,419.143955
1027,878,421.814165
231,164,422.29108
606,422,423.488847
1028,1092,427.17493
625,396,428.463022
579,482,429.768672
748,734,432.178502
1038,706,434.540352
622,484,436.263856
231,160,436.75622
229,162,437.234832
635,656,439.273345
222,176,440.20984
583,466,441.850449
1021,1086,445.353728
769,730,448.192664
737,556,450.134451
1038,748,452.64876
616,452,454.076598
1030,761,456.646039
1038,883,460.198921
231,174,460.727511
604,478,462.219622
761,932,465.297283
765,730,467.752321
1036,900,470.800953
231,160,471.359913
605,432,472.62549
231,158,473.147471
597,482,474.643474
1538,1086,478.072188
1306,1242,482.046802
231,170,482.600667
1033,970,485.64123
627,400,487.064703
727,796,489.608458
1032,996,492.863516
601,460,494.450454
705,808,497.351751
1023,1114,501.350426
735,570,503.375292
1549,986,506.776516
230,160,507.191925
232,162,507.856569
230,160,508.425604
1036,718,511.0358
230,160,511.470637
1311,982,515.194106
1315,978,518.99946
1534,1346,524.290683
233,156,524.878112
1045,714,527.328886
230,162,527.93626
241,142,528.490793
1031,770,531.305825
1303,1004,534.522164
595,508,535.986405
1035,931,539.03322
595,448,540.346485
627,396,541.715773
1026,1012,544.946018
633,350,546.023874
617,444,547.505124
1041,822,550.019178
712,594,551.976308
218,188,552.551768
235,156,553.210513
717,540,554.969006
233,162,555.538226
226,170,556.190479
649,374,557.371381
994,1755,563.690732
605,450,565.105945
1030,1026,568.689294
1016,1315,573.039108
606,414,574.380591
625,388,575.915935
589,574,577.859749
239,148,578.332484
1037,705,580.404064
226,168,580.956554
616,418,582.369774
733,694,584.648096
232,174,585.107506
618,402,586.479893
1310,964,589.61586
1025,1135,593.667045
606,424,595.158333
808,712,597.839055
763,742,600.406278
231,160,601.009837
1033,826,604.002215
1079,889,607.303394
808,704,609.651606
1026,1074,613.500393
1313,807,616.282998
1035,780,618.899401
1309,900,621.682218
807,728,623.979857
1119,1030,627.236847
231,160,627.922728
1308,888,630.68626
1330,954,633.616957
627,404,634.807227
233,156,635.298442
230,148,635.651493
1676,1078,639.297532
601,454,641.412931
612,442,642.716433
242,142,643.259212
1411,1138,646.917382
750,616,648.95051
627,398,650.245552
232,168,650.949682
1303,1056,654.245113
220,176,654.969697
808,704,657.373486
231,166,658.147385
232,164,658.726477
625,446,660.21288
1035,933,663.439937
1039,782,666.17096
1030,811,668.962
627,420,670.396146
1034,957,673.877583
613,390,675.202919
597,442,676.443769
625,398,677.796069
1045,706,679.96266
1136,994,683.245726
742,690,685.578127
608,418,687.067269
754,678,689.156534
598,478,690.572715
1043,692,692.833657
1036,923,696.166927
1028,822,698.774137
233,162,699.308341
602,452,700.692531
1316,897,703.710378
595,448,705.090438
231,160,705.692611
1023,1172,709.58858
1028,862,712.23014
628,432,713.645289
231,162,714.292651
1026,913,717.321732
1302,1022,720.975738
222,178,721.393179
231,160,722.038541
754,738,724.364942
231,158,724.958561
736,638,726.885493
227,168,727.464933
619,482,729.018914
232,146,729.551605
1308,928,732.790269
813,610,734.827049
612,436,736.308603
1036,925,739.591563
1035,686,741.815764
614,390,743.139872
1411,898,746.11713
233,170,746.710122
631,374,747.981841
228,164,748.565313
239,146,749.089821
1025,1126,752.842072
232,162,753.418607
760,588,755.390926
1038,850,758.297514
224,170,758.902075
1310,866,761.870345
604,418,763.264039
769,698,765.638556
1034,735,768.180559
233,156,768.730921
635,654,770.973221
811,644,773.109134
1658,1334,777.738968
1678,1104,781.411075
233,162,781.980133
758,740,784.741492
1031,979,788.063884
1913,1134,791.838725
246,128,792.312457
1294,1187,796.043472
241,144,796.694237
239,140,797.045303
230,142,797.554503
237,152,798.168861
765,630,800.225739
605,408,801.564775
243,142,802.085969
226,154,802.62775
1040,774,805.148827
1023,975,808.560048
1031,926,811.802896
625,422,813.240134
237,136,813.744798
236,154,814.298333
1424,772,816.777162
232,166,817.363623
1041,646,819.74759
614,408,821.120699
1049,669,823.32154
1326,763,825.979514
617,370,827.252084
1034,770,829.696292
225,162,830.268078
731,588,832.188791
753,560,834.055665
610,362,835.28235
239,136,835.776806
1040,623,837.815672
634,398,839.211578
233,152,839.603044
234,158,840.164526
607,366,841.414116
1298,1206,845.494421
633,372,846.764853
1307,907,849.705353
1048,629,852.015438
1031,741,854.422719
1032,634,856.68397
625,442,858.148554
1037,844,860.996744
630,378,862.291426
1037,708,864.581775
1022,1014,868.522845
648,384,869.662847
1311,804,872.349652
1901,1156,876.322783
234,148,876.857021
1556,1024,880.370801
228,142,880.891419
630,350,882.127764
651,324,883.126734
248,116,883.59579
1044,737,886.00054
1318,661,888.395742
628,368,889.668729
234,142,890.036972
228,146,890.574725
239,148,891.11519
241,128,891.456277
631,332,892.635248
1048,684,895.05923
813,606,897.095307
595,466,898.607397
240,126,899.084122
730,410,900.520632
234,136,900.883345
1306,786,903.512532
599,368,904.785815
1021,1235,909.120331
1312,792,911.781872
246,134,912.292828
611,262,913.136729
1343,697,915.648999
753,486,917.236396
250,120,917.703326
616,318,918.666786
1037,676,921.09767
1148,756,923.63896
242,144,924.010317
611,374,925.274795
726,634,927.357047
237,134,927.78741
630,372,929.044299
610,310,929.861123
1320,1103,933.498351
625,366,934.568562
1320,698,936.806048
1698,760,939.221685
614,326,940.41919
227,158,940.971275
1681,932,943.98804
1689,858,946.879713
1043,544,948.722922
228,142,949.232883
1129,880,952.23651
651,320,953.422456
222,174,954.067098
617,290,955.036908
617,292,956.145193
243,126,956.48329
650,342,957.658825
630,322,958.781485
1051,561,960.732311
776,700,962.998863
640,350,964.349096
749,750,966.973336
615,280,967.84734
1347,614,969.942528
242,122,970.416856
610,238,971.184315
246,126,971.51594
1318,666,973.933335
242,130,974.267593
248,112,974.711688
1429,830,977.272075
1024,1074,980.975097
1333,893,983.872636
614,354,985.072338
1053,549,987.058643
1315,884,989.933409
793,1012,993.274146
1053,525,995.183597
1433,698,997.431547
1037,873,1000.547257
231,158,1000.965781
1052,549,1002.855988
248,118,1003.322911
1146,618,1005.402822
1038,641,1007.599691
745,494,1009.34795
1301,1034,1012.777381
1692,1020,1016.259675
1046,462,1017.741995
636,318,1018.883427
617,354,1020.110373
627,334,1021.213933
635,314,1022.342196
614,352,1023.580929
246,110,1023.866873
1418,904,1026.977606
611,426,1028.455898
1042,651,1030.585858
238,130,1031.07455
1138,588,1033.059298
813,614,1035.195069
814,594,1037.215156
652,314,1038.215445
1425,672,1040.565822
606,330,1041.643368
248,120,1042.112144
242,124,1042.580029
748,534,1044.271587
1070,492,1045.987017
622,338,1047.004562
1057,763,1049.665833
1139,622,1051.733776
1050,586,1053.687952
1153,694,1056.230685
627,342,1057.31741
591,400,1058.657199
811,652,1060.759486
1047,661,1062.737546
244,142,1063.187545
1043,544,1064.714167
236,130,1065.259585
1333,746,1067.535837
619,380,1068.665174
235,132,1069.000503
1051,565,1070.798646
638,354,1072.001537
1318,688,1074.011473
1429,652,1076.180893
611,354,1077.212005
632,318,1078.074012
243,126,1078.508037
247,116,1078.798583
619,322,1080.211035
239,130,1080.627126
704,732,1082.639767
611,270,1083.517575
605,380,1084.934359
1038,863,1087.55065
246,110,1087.819931
632,340,1088.935944
1062,602,1090.651668
1047,584,1092.642914
233,130,1093.196416
1324,754,1095.220881
633,332,1096.417411
621,356,1097.594798
1320,621,1099.564288
1677,1102,1102.916774
608,250,1103.620499
1322,784,1106.638561
246,110,1106.914821
634,354,1107.938898
1064,541,1109.859302
620,314,1110.687392
248,116,1111.059082
1331,829,1113.521462
1058,431,1114.987811
633,316,1115.960485
624,308,1116.765492
752,606,1118.738246
247,136,1119.155609
1048,473,1120.56309
1048,516,1122.294303
636,292,1123.304647
1045,567,1124.908823
252,106,1125.444304
1040,823,1128.092231
1687,848,1131.189055
620,388,1132.501556
1044,571,1134.388245
1039,1069,1137.588899
1051,568,1139.39943
239,138,1139.850761
604,374,1141.033809
253,116,1141.310071
1320,654,1143.623786
1061,607,1145.565211
736,576,1147.5053
248,116,1147.814472
1040,600,1149.601954
623,332,1150.6708
241,128,1151.082314
250,112,1151.353247
246,114,1151.918734
755,574,1153.786391
1323,1023,1157.054167
633,358,1158.030393
630,362,1159.39404
252,106,1159.757354
1913,1072,1163.536248
631,320,1164.670483
235,126,1165.001597
234,132,1165.500772
227,142,1166.033696
618,288,1166.921523
1307,914,1170.115743
1042,671,1172.310333
602,284,1173.341269
626,342,1174.375981
1329,736,1176.97283
238,132,1178.434621
240,118,1178.735817
1568,858,1181.747049
1054,551,1183.488127
1428,706,1186.02353
1041,631,1188.14019
665,8014,1214.842829
627,364,1216.112982
249,120,1216.588476
1051,562,1218.3838
1346,707,1220.810263
1309,870,1223.669211
1420,892,1226.998135
783,590,1228.998381
604,386,1230.320637
251,114,1230.61568
247,122,1231.07944
727,482,1232.714991
246,110,1233.17154
607,414,1234.542762
250,110,1234.845199
3034,1631,1240.52636
1331,703,1243.135261
249,106,1243.721081
248,108,1243.999731
736,356,1245.247003
623,350,1246.533392
1338,582,1248.235253
627,300,1249.190819
614,348,1250.225148
627,348,1251.260818
244,136,1251.576972
1056,470,1253.270301
1345,665,1255.340862
232,142,1255.886071
609,294,1256.746033
237,126,1257.176879
234,126,1257.490174
638,338,1258.677117
250,110,1259.20485
756,506,1260.689708
652,300,1261.737264
238,150,1262.263978
252,106,1262.528984
625,284,1263.781862
1063,622,1265.641819
1310,993,1268.798633
1056,467,1270.274525
613,306,1271.251352
756,472,1272.747047
249,108,1273.010312
1041,637,1275.267245
1050,639,1277.12617
1309,738,1280.128768
1318,847,1283.09813
1300,1044,1286.628338
1317,686,1288.852645
1185,586,1290.8327
241,130,1291.315395
247,110,1291.834031
250,108,1292.119992
238,134,1292.630439
1025,927,1295.673088
1327,543,1297.52991
1035,751,1300.165954
1346,623,1302.241593
244,112,1302.682208
1321,634,1304.782148
246,118,1305.094079
1039,691,1307.564004
1045,537,1309.460021
1348,575,1311.252366
624,340,1312.528164
613,326,1313.685302
622,278,1314.551385
1194,556,1316.453994
1066,571,1318.372535
628,326,1319.443441
738,528,1321.263948
1042,776,1323.895622
1065,594,1325.96883
630,358,1327.21383
1433,668,1329.396917
1044,572,1331.343805
1329,893,1334.348859
1141,730,1336.872715
1048,479,1338.435279
754,510,1340.315161
615,354,1341.537909
1309,846,1344.332321
1416,828,1347.22329
627,342,1348.462393
1845,944,1351.530998
251,106,1351.786851
1683,872,1354.970516
1049,477,1356.495324
1559,962,1359.537017
1434,730,1361.821807
609,378,1363.139371
1331,745,1365.363419
618,288,1366.248146
1143,682,1368.476698
1318,683,1370.549523
1319,801,1373.238909
1314,801,1375.826159
1577,830,1379.016669
652,308,1380.016281
1342,687,1382.027579
631,290,1383.045999
1579,736,1385.224667
1152,730,1387.793485
718,674,1389.774276
1049,620,1391.774265
1838,962,1394.907428
248,108,1395.158755
1686,1066,1398.471116
1073,406,1400.047253
1150,730,1402.102798
1161,538,1403.877079
1040,661,1406.007355
811,646,1408.0875
1314,746,1410.362267
1046,542,1412.401712
251,110,1412.651046
1051,439,1413.968469
814,590,1415.830046
650,356,1416.756739
1309,1055,1420.397913
629,346,1421.445846
246,108,1421.87324
610,240,1422.633392
1703,750,1425.285334
1414,810,1427.973832
624,374,1429.246978
639,306,1430.11705
246,110,1430.590452
238,126,1431.176385
229,134,1431.497695
1039,623,1433.40965
251,118,1433.810698
621,354,1434.901022
246,114,1435.172873
240,124,1435.743345
1412,612,1437.578885
722,526,1439.313153
1054,525,1440.777364
1034,938,1443.781435
1845,898,1446.658512
611,292,1447.488526
2366,1051,1450.724898
1329,690,1452.919359
1054,509,1454.33557
652,308,1456.035355
616,294,1456.988559
1045,734,1459.359483
244,112,1459.824579
235,136,1460.167246
1039,653,1462.306979
1049,630,1464.663682
634,364,1465.744548
1042,615,1467.899516
1045,702,1470.215085
1338,696,1472.563993
235,124,1472.87915
238,122,1473.278958
242,114,1473.547724
1041,648,1475.723997
765,546,1477.330227
612,310,1478.411251
249,108,1478.688078
1579,822,1481.516941
622,284,1482.458496
619,336,1483.616435
1044,723,1485.905837
1040,655,1488.364021
1027,937,1491.460577
3027,1887,1497.814799
618,274,1498.667831
1323,705,1501.092374
248,108,1501.372735
252,106,1501.796223
245,120,1502.114275
632,278,1503.211729
605,358,1504.302343
755,494,1506.031199
617,372,1507.297555
751,684,1509.629489
1071,460,1511.161556
818,514,1512.619877
614,282,1513.628177
633,324,1514.533731
609,236,1515.319047
1418,722,1517.837081
615,278,1518.975427
245,110,1519.477679
640,322,1520.867811
601,358,1521.87374
249,106,1522.265836
1031,814,1525.161359
1310,868,1527.754558
1046,557,1529.550111
1043,768,1531.8726
628,416,1533.14145
1039,667,1535.636794
1061,667,1538.149116
248,108,1538.433356
623,312,1539.486863
1313,774,1541.949014
248,116,1542.247525
623,296,1543.308026
611,256,1544.15899
653,290,1545.655168
794,642,1547.919811
1042,598,1549.873629
630,308,1550.727346
248,108,1551.149482
1330,715,1553.322773
615,362,1554.539404
607,270,1555.480925
1048,481,1557.041088
235,130,1557.480162
634,330,1558.361596
1068,539,1559.910414
1915,978,1563.197942
1326,641,1565.276396
1042,558,1567.485314
1567,938,1570.441386
1027,881,1573.301145
246,108,1573.724658
1428,694,1576.023973
640,286,1576.854857
246,108,1577.270087
615,368,1578.392429
724,666,1580.367496
814,598,1582.434901
611,254,1583.248482
1347,601,1585.400871
251,112,1585.668661
616,382,1586.775887
249,108,1587.128093
777,546,1588.652401
1421,674,1590.656474
1143,880,1593.255724
653,290,1594.237014
651,328,1595.154086
249,108,1595.531561
1309,833,1597.98755
247,110,1598.257827
1140,678,1600.497518
252,106,1600.752657
1041,695,1602.928056
633,324,1603.768516
753,508,1605.239109
250,118,1605.615485
1862,822,1608.095156
808,708,1610.243517
1054,513,1611.8033
1049,614,1613.790276
2630,1318,1617.793967
1043,589,1619.58157
252,116,1619.976513
1041,625,1621.821658
612,306,1622.890311
249,108,1623.150094
746,614,1625.115352
626,332,1626.134606
236,138,1626.634079
640,546,1628.138065
1320,642,1630.040849
1048,446,1631.420633
1051,449,1632.811858
1036,698,1634.888569
619,356,1635.872124
777,468,1637.565834
613,252,1638.380857
244,128,1638.851039
249,108,1639.133908
596,394,1640.418496
638,592,1642.2536
1032,779,1644.700278
251,112,1645.116884
238,126,1645.430045
247,116,1645.864879
622,316,1646.846169
1041,652,1649.088484
1040,815,1651.898092
615,298,1652.848592
779,504,1655.107161
637,608,1657.453859
620,386,1658.889022
617,282,1659.652731
634,390,1660.790814
251,112,1661.167359
1854,834,1664.224274
621,336,1665.443012
237,130,1665.764429
252,106,1666.136128
252,106,1666.396901
1048,632,1668.80394
1056,479,1670.349754
634,294,1671.28889
1692,744,1673.80968
2341,1534,1680.442724
246,108,1680.738601
640,296,1681.838724
232,138,1682.209876
618,306,1683.371257
607,342,1684.636566
653,280,1685.464136
653,284,1686.604834
1323,735,1688.857506
250,108,1689.361104
252,106,1689.604373
1331,585,1691.237868
620,276,1692.237999
242,114,1692.542184
238,126,1693.120756
1038,821,1695.495229
1044,583,1697.380751
247,118,1697.840639
233,128,1698.193837
618,308,1699.420789
1342,696,1701.57777
621,254,1702.309811
1050,459,1703.848838
247,108,1704.134216
601,362,1705.724599
652,306,1706.822339
1693,856,1709.523235
1047,668,1711.777944
632,308,1713.071078
2339,1557,1718.179367
1045,557,1719.878509
238,126,1720.356242
622,362,1721.610597
253,116,1721.91279
1942,1004,1725.263703
1340,599,1727.347954
623,334,1728.523009
1042,766,1731.099396
1311,837,1733.976175
1068,465,1735.951494
625,316,1736.931516
639,570,1738.844136
1309,878,1741.793573
631,316,1742.903198
608,352,1744.123726
618,266,1744.956068
1427,666,1747.221989
252,106,1747.653835
630,330,1748.818971
627,286,1749.712181
1046,502,1751.469964
1036,706,1753.813125
1036,674,1756.007692
816,542,1757.874359
1055,503,1759.696392
1332,647,1761.806873
609,362,1763.020483
247,108,1763.295746
629,334,1764.485629
246,112,1764.922474
748,490,1766.596446
252,106,1767.017751
734,458,1768.514532
1044,507,1770.5223
1323,725,1773.039181
252,106,1773.553808
1340,733,1775.925224
1583,722,1778.422947
1064,573,1780.457591
1040,806,1783.19598
246,110,1783.48819
620,374,1784.778995
626,296,1785.866601
249,108,1786.154984
618,354,1787.437695
780,648,1789.566556
611,322,1790.723494
2352,1237,1794.976018
1684,1010,1798.409139
1052,560,1800.323936
252,106,1800.604188
652,316,1801.827576
620,314,1802.958842
624,260,1803.776271
605,272,1804.66857
1338,737,1807.241153
239,122,1807.791679
