#{"t_start": 1650950673.570062, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-2,800,18.860056
195,8078,45.871004
532,6342,65.543311
628,684,68.052146
620,400,70.228629
653,2124,77.097897
229,178,77.607811
594,918,80.222273
611,1128,83.96067
977,7969,110.25386
602,536,111.812357
192,268,113.563509
181,270,114.282639
227,194,114.831219
232,184,115.435466
1039,612,117.313174
212,216,117.915945
1173,3605,129.84233
1244,2468,137.915135
695,860,140.710655
206,206,141.617201
760,1672,146.783379
724,1040,150.209212
579,528,152.177973
1307,1026,155.265834
242,174,155.816361
234,158,156.45964
233,186,157.136828
1115,1050,160.46821
740,842,163.114463
772,1428,167.776232
238,162,168.459043
215,172,169.085774
1862,1980,175.488503
227,170,176.00116
637,606,177.927503
1036,931,180.880515
1282,1546,185.488059
1147,602,187.645412
762,686,189.694327
730,606,191.776782
240,154,192.404481
633,652,194.303104
808,700,196.565766
231,168,197.065433
604,458,198.372681
236,158,199.025981
614,372,200.30272
229,178,200.822244
622,908,203.678888
600,448,205.08011
786,1154,208.761301
623,402,209.888939
238,142,210.234015
232,166,210.86336
231,196,211.41246
218,182,211.992233
230,184,212.532232
630,746,214.973812
240,166,215.452535
635,656,217.376341
239,158,218.044651
612,648,220.016022
1000,1649,225.21568
227,168,225.707385
1342,769,228.052811
1046,729,230.1962
791,1046,233.606733
636,638,235.568423
620,376,237.17779
607,442,238.390798
240,158,238.8705
616,684,240.947744
622,444,242.1975
600,478,243.907189
624,396,245.011106
230,172,245.508631
232,162,246.046066
629,374,247.040673
1307,904,249.978574
602,458,251.42901
770,696,253.532894
231,178,254.198469
594,464,255.508636
783,1210,259.03562
631,352,260.253637
1032,918,262.976398
231,158,263.620747
230,160,264.275991
1293,1149,267.594408
1005,1292,271.503191
619,436,272.751205
733,602,274.850325
813,618,276.691339
250,138,277.113033
233,166,277.620695
1657,1110,281.285699
231,168,281.693607
1004,1407,286.084283
246,132,286.559372
237,156,287.022135
637,608,288.788148
620,404,289.989872
1312,852,292.679172
712,520,294.28237
230,174,294.958561
231,162,295.354501
232,164,295.940073
1033,779,298.276381
1045,559,299.921439
232,164,300.576687
601,434,301.933493
623,386,303.025591
1027,1081,306.435056
992,1526,311.342517
1297,1102,315.01016
1031,804,317.522828
243,140,317.853971
811,646,319.739503
230,162,320.416915
233,166,321.053212
232,162,321.551907
223,156,322.031595
611,526,323.656442
986,1669,328.828299
735,720,331.096157
1123,936,334.071114
1308,921,336.969949
604,456,338.43886
1041,838,341.141462
230,160,341.749143
233,156,342.202928
603,442,343.469893
231,164,343.962325
749,582,345.794302
231,164,346.169269
239,134,346.59919
1414,1182,350.333263
735,694,352.954553
234,156,353.328977
1044,713,355.646925
225,174,356.151545
619,464,357.679567
1311,962,360.940845
1048,677,363.437166
224,170,364.166215
230,164,364.817473
612,450,366.560808
1664,1308,370.909917
622,396,372.22434
738,680,374.178128
232,164,374.713694
212,194,375.435454
239,154,376.135581
1292,1200,379.874243
622,402,380.987241
232,162,381.461248
769,680,383.738979
1688,1180,387.451488
231,164,388.055094
231,166,388.611952
233,158,388.969501
626,404,390.119916
1034,959,393.14979
218,182,393.66875
770,724,395.978867
615,442,397.24773
226,172,397.904601
741,524,399.314013
763,770,401.957857
616,400,403.336498
634,404,404.70779
233,166,405.194716
610,442,406.44114
813,600,408.516742
624,410,409.668619
1122,938,413.254377
1026,884,416.515424
230,160,416.875491
1308,925,419.822895
628,406,421.216856
234,160,421.687625
1004,1302,425.622233
1417,1062,429.098587
231,160,429.455603
616,408,430.758333
1034,973,433.775912
1296,1022,437.379567
231,162,437.764455
243,132,438.277084
1675,1194,442.61752
608,380,443.957932
623,446,445.333903
1287,1461,450.560434
593,484,452.280698
1026,1103,455.906914
1037,776,458.959857
616,442,460.504227
583,488,462.094068
235,156,462.802185
715,560,464.509162
615,452,465.929221
1410,962,469.288435
243,132,469.616557
634,678,471.90538
231,160,472.289862
233,166,472.807125
1045,714,475.252538
733,692,477.238591
1126,832,479.910031
231,166,480.411084
240,154,480.989568
230,166,481.515719
701,890,484.302668
636,626,486.429524
1127,1200,490.230903
1122,954,493.293487
729,754,496.009446
737,566,498.092896
225,178,498.744153
219,180,499.395162
241,142,499.775146
773,770,502.558095
1043,788,505.283724
1028,1083,509.136784
811,642,511.396955
778,638,513.612437
1892,1264,518.518333
233,162,519.213012
219,184,519.980516
231,168,520.673662
621,696,523.357089
230,168,523.974438
671,8014,550.261651
810,668,552.492082
1086,857,555.450838
230,166,556.11979
719,624,558.088582
611,454,559.651205
585,470,561.49836
230,160,561.962696
220,176,562.68777
575,544,564.516644
626,414,565.853068
1296,1292,570.387918
1024,931,573.330449
232,162,573.845073
231,162,574.460499
627,366,575.940837
1294,1113,579.410305
776,716,581.844301
776,660,583.875895
1041,771,586.434135
709,602,588.235847
1313,1246,592.594035
1313,876,595.81512
1035,922,599.059136
774,646,601.516603
627,414,602.991038
615,438,604.592432
232,162,605.17919
1118,1130,609.124701
727,996,612.631172
230,186,613.271998
767,652,615.480832
758,654,617.918998
615,410,619.155836
224,162,619.66036
1038,738,621.943641
728,636,624.026854
736,654,626.131064
1029,1050,629.399155
1399,1020,632.720207
628,426,633.947194
219,180,634.490985
1310,829,637.131017
1035,746,639.56394
1028,1078,643.935039
229,174,644.367823
1289,1234,648.368163
233,162,648.756128
1406,946,651.957968
1133,760,654.368905
1035,925,657.767522
1316,842,660.777086
223,176,661.392413
599,478,662.965889
1030,988,666.398473
1312,876,669.356068
226,172,669.97507
720,716,672.651657
579,534,674.546261
1327,1010,677.734848
236,134,678.050479
1020,1228,681.829902
1041,778,684.539891
233,162,685.120339
1034,971,688.398073
1035,915,691.156246
239,144,691.518276
1523,1381,696.427352
1022,928,699.416174
1041,798,702.17455
752,708,704.209137
230,160,704.731873
1043,786,707.49139
232,170,707.994826
610,438,709.281523
1039,718,711.645647
622,376,712.955322
1037,903,715.987904
236,156,716.50053
232,162,717.10702
611,472,718.716793
1039,878,721.781231
243,124,722.128422
753,656,724.12015
605,430,725.592186
605,382,726.790362
231,160,727.210745
1318,972,730.561664
220,174,731.158208
703,764,733.741384
610,496,735.326851
1033,977,738.799204
600,466,740.456712
1045,722,742.765485
1047,684,745.214859
609,472,746.726771
230,160,747.296523
606,432,748.708023
1532,1148,752.660679
777,674,754.859337
610,412,756.217324
732,792,758.985944
1041,581,760.917885
245,124,761.395118
