#{"t_start": 1650950673.723801, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
258,8019,43.177412
525,2072,49.369353
722,7231,73.235995
630,668,75.206816
214,292,76.340921
717,682,78.362758
237,160,78.838458
578,864,81.643321
592,4186,95.785945
213,202,96.382756
1025,951,99.245754
726,596,101.118148
774,1390,105.735869
1243,2718,115.173018
613,526,116.756005
605,446,118.122289
587,622,120.837474
625,758,123.196752
217,194,123.647289
751,1080,127.13009
624,440,128.541987
583,624,130.47936
195,242,131.585032
584,498,133.160227
596,526,134.910428
247,158,135.26847
594,494,136.913635
216,200,137.488098
998,1654,142.890671
813,564,144.789562
990,1616,149.902882
584,558,151.910509
580,492,153.407532
783,1210,157.255361
602,308,158.187902
646,438,159.616074
699,1538,164.621523
598,534,166.117521
621,490,168.187619
1281,1458,172.964133
1307,905,175.826449
803,816,178.51641
697,1084,181.804892
230,168,182.296575
1310,1194,185.855647
729,422,187.462752
622,338,188.460849
230,176,188.975645
809,694,191.131358
711,738,193.657885
229,168,194.159373
621,436,195.590197
607,542,197.283144
602,426,198.680755
735,654,200.73433
239,152,201.195097
1323,1078,204.595258
598,448,206.003489
816,556,207.689061
1035,774,210.031436
605,472,211.629044
614,450,213.039776
718,1172,216.549074
1031,848,219.323271
242,148,219.770501
624,410,220.930636
733,636,223.056423
241,148,223.496154
230,160,223.852374
648,382,225.17068
768,726,227.424412
1019,1260,231.131729
1294,1219,234.881161
243,136,235.633486
234,146,236.245358
1035,704,238.384636
1135,818,240.880781
1017,1167,244.496029
218,188,245.027661
1895,1264,249.100767
581,470,250.39652
799,892,253.113862
231,162,253.589591
231,166,254.232199
755,678,256.13353
624,342,257.293861
232,164,257.766595
1561,916,260.729614
1323,955,263.582669
240,154,264.190079
1307,741,266.289896
231,176,266.810791
623,462,268.173043
716,602,270.187995
1096,1704,275.575609
1020,984,278.434555
1035,842,281.197784
1313,1026,284.373025
1016,1080,287.584191
1316,1244,291.450119
243,148,291.893897
1292,1220,295.776364
229,168,296.263032
730,606,298.102713
1045,736,300.432916
711,632,302.338307
232,162,302.811049
603,446,304.196413
1322,928,307.259816
608,430,308.440291
607,482,309.942681
219,184,310.497399
1032,747,313.170033
637,606,315.085807
1033,751,317.460876
814,596,319.222705
219,182,319.923084
222,190,320.645154
232,168,321.045083
1321,663,323.223539
626,418,324.455151
716,620,326.488539
221,178,326.995783
1020,1035,330.058342
602,554,332.136253
1048,661,333.969238
249,146,334.432536
250,138,335.022956
247,132,335.322483
230,164,335.799206
235,144,336.298885
592,424,337.527757
735,700,339.81567
226,174,340.390134
610,442,341.956437
1019,1044,344.980288
1304,980,347.935848
1133,806,350.576131
791,1058,354.29689
229,168,354.811485
622,452,356.131413
231,160,356.642074
800,864,359.432339
1014,1109,363.750179
746,804,366.744168
636,636,368.613821
224,178,369.292053
597,442,370.877853
222,176,371.560964
798,660,373.437175
240,150,373.916678
1311,1146,377.702268
1412,1018,380.852507
636,626,382.856153
227,168,383.496506
226,174,383.98793
616,456,385.253416
625,448,386.6981
1045,797,389.300361
231,162,389.783665
232,164,390.437003
729,670,392.288631
725,566,394.048588
621,424,395.466964
585,534,397.042159
1802,1838,403.032022
1036,926,405.948306
601,462,407.645678
1039,726,409.883063
1320,1142,413.774969
233,162,414.54215
577,520,416.471392
1402,1116,419.849701
1048,698,422.10555
712,542,423.840906
750,728,425.969157
1042,806,428.651521
230,160,429.124338
618,414,430.304395
239,162,430.816995
633,388,432.163543
589,488,433.605189
622,418,434.978183
1021,1222,439.151642
231,160,439.605428
228,170,440.496045
599,462,442.246361
232,162,442.677209
230,162,443.268627
231,162,443.880989
608,466,445.294858
608,442,447.089058
1031,868,450.135421
636,632,452.244644
233,162,452.758377
1310,844,455.626008
1317,874,459.071845
748,510,460.738452
623,380,461.963269
229,162,462.691331
665,8018,488.279452
1276,1580,493.610642
1037,898,496.746797
633,370,498.055844
222,172,498.681705
612,416,500.112687
1029,806,502.992288
231,164,503.580714
1307,921,506.805413
1309,883,509.863643
613,652,512.124792
609,432,513.63673
627,414,515.351657
757,662,518.004558
1046,718,520.776238
699,834,524.123103
1309,1122,528.012535
233,162,528.617932
1311,970,532.013612
604,428,533.308383
1042,798,535.896617
226,170,536.50795
1031,1012,539.657039
220,176,540.209822
233,162,540.898535
592,480,542.280235
240,146,542.816507
232,162,543.507987
812,626,545.347918
606,468,546.726168
219,178,547.437277
636,626,549.329565
636,628,551.417774
230,160,551.903474
1039,837,554.63587
594,446,556.396407
1033,939,559.45401
1298,1293,564.176404
232,162,564.713966
212,196,565.232579
621,404,566.87528
214,170,567.365968
1388,1290,571.754785
597,458,573.117868
1315,1164,577.18353
601,446,578.603248
720,622,580.485817
580,480,582.194214
1045,741,584.452202
768,860,587.306835
711,654,589.464238
232,162,590.05816
627,396,591.456928
1044,772,594.209899
233,146,594.61476
236,152,595.202187
234,156,595.797018
635,378,597.262838
231,160,597.840024
620,466,599.437416
622,418,600.96493
1310,936,604.404784
1042,743,606.99668
599,556,608.952013
216,184,609.601206
1311,853,612.563204
627,440,614.191517
232,162,614.633292
582,440,616.27556
634,326,617.296328
744,786,619.799878
739,628,621.821817
627,396,622.971812
233,162,623.503105
611,430,625.041154
238,152,625.544759
231,160,626.03916
219,178,626.585103
606,470,628.14813
231,168,628.654994
230,160,629.136705
241,146,629.59299
808,700,631.823998
1304,1086,635.191678
785,760,637.583448
744,678,639.982583
243,136,640.624723
613,454,642.383408
1028,1036,645.731547
232,158,646.233205
1041,650,648.376991
223,172,648.9041
1048,663,651.159637
1048,688,653.331733
236,156,653.748804
616,452,655.509226
224,176,655.973982
617,428,657.628744
632,394,659.1588
617,426,660.582428
1034,921,663.633391
216,184,664.356512
242,152,664.898081
1042,772,667.553171
611,446,669.050763
235,156,669.629854
602,470,671.291229
633,694,673.813725
621,374,675.10592
744,812,677.630974
1036,1117,680.995676
1032,792,683.611718
221,176,684.27993
236,146,684.820989
238,148,685.371516
608,428,686.886717
637,614,688.737626
233,170,689.231305
609,440,690.558722
600,652,692.72492
620,404,693.944982
1283,1530,699.249469
615,410,700.526341
218,178,701.237231
604,460,702.691974
808,696,704.887426
1307,925,707.936832
1409,960,711.014186
633,384,712.234101
611,390,713.55154
1039,841,716.408627
635,648,718.672761
1051,608,720.760114
1561,994,723.922528
624,432,725.403541
2597,2072,732.251708
746,646,734.383208
1022,978,737.857521
1402,944,741.040998
613,428,742.437212
1046,702,744.780053
1302,1046,748.385733
1300,1076,751.999189
631,438,753.441518
585,420,754.830263
622,366,756.070567
1552,1198,760.175201
236,136,760.678375
614,500,762.262455
709,622,764.440229
1142,612,766.645205
805,770,769.119712
1040,662,771.54163
1038,873,774.423947
598,476,775.974999
637,612,778.266675
241,144,778.64972
1029,864,781.677914
810,678,784.051218
249,128,784.606427
230,160,785.028697
243,140,785.545555
624,324,786.692638
620,406,788.063855
633,400,789.407741
1045,738,791.84867
231,166,792.429116
1135,772,794.860146
1038,613,796.940556
247,132,797.424822
625,410,798.851841
619,354,800.053536
225,172,800.64135
1049,612,802.653653
244,140,803.006723
223,156,803.558247
1531,1312,808.209112
618,402,809.553027
233,162,810.130606
706,824,812.988586
605,400,814.335206
725,586,816.325342
1035,752,818.825829
1043,750,821.396632
603,358,822.624539
1325,691,824.890467
242,146,825.492243
1042,749,828.046341
240,144,828.572204
1030,824,831.224615
1149,754,833.630143
1037,671,835.948319
1027,908,838.930381
1307,938,842.088981
1318,901,845.236084
1700,844,848.03721
246,134,848.532607
629,402,849.876552
1050,620,852.01142
1332,1055,855.539341
628,368,856.793193
598,404,858.152515
624,342,859.24777
617,330,860.421537
779,658,862.581129
628,328,863.729674
649,368,864.997317
1065,623,867.468524
1405,800,870.128545
624,356,871.358032
1046,538,873.29248
236,138,873.661919
635,354,874.879286
588,386,876.177636
229,148,876.712358
1039,806,879.507743
237,132,879.852953
1691,948,883.095786
1026,941,886.418831
1314,772,889.03786
229,154,889.439803
253,112,889.888681
617,422,891.291691
639,322,892.441513
613,366,893.777385
618,348,894.821837
1318,689,897.219322
1145,642,899.336298
1689,1020,902.796848
240,142,903.314007
242,126,903.797071
1048,668,906.093049
633,392,907.575229
242,126,907.894797
2609,1434,912.825942
610,342,913.955345
226,162,914.537828
1428,802,917.249334
613,366,918.49471
1047,461,919.992166
241,126,920.550194
637,324,921.688643
616,320,922.661486
711,404,924.001314
1043,675,926.339058
238,150,926.741426
1058,792,929.260468
1036,706,931.516306
236,150,932.14263
238,146,932.483639
1049,607,934.288119
1051,617,936.459945
634,326,937.323634
615,376,938.548509
241,146,939.067658
245,126,939.390208
1689,1002,942.753853
241,148,943.294516
738,524,945.1148
1314,1005,948.540383
1134,836,951.426295
624,310,952.513091
237,134,952.852368
596,394,954.324382
1037,723,956.886705
620,294,957.794436
1347,677,960.186464
248,122,960.504874
246,118,960.958183
735,570,962.892121
248,118,963.1993
1310,837,966.266984
1048,659,968.507966
1039,670,970.744949
1706,856,973.80478
761,514,975.332224
242,128,975.742635
1433,718,978.023652
241,126,978.495283
622,284,979.365638
1830,1496,984.462529
1042,722,987.031686
248,112,987.317243
1043,585,989.271051
1423,804,991.946369
245,122,992.405399
241,138,992.767912
231,128,993.244197
608,304,994.421746
243,134,994.774927
622,302,995.867168
251,114,996.158929
249,116,996.604602
1903,1050,1000.100013
760,640,1002.302356
1306,906,1005.424735
1038,874,1008.371603
1345,682,1010.757283
613,292,1011.660533
1055,731,1014.247645
1013,1183,1018.203732
227,144,1018.580034
1026,884,1021.719557
635,348,1022.929235
612,260,1023.769106
1416,834,1026.536719
245,118,1027.006501
243,132,1027.351807
1045,700,1029.83147
1308,875,1032.702223
1050,614,1034.83837
237,122,1035.338685
1687,962,1038.616788
248,120,1038.942606
614,346,1040.134758
1137,750,1042.748579
612,336,1043.932315
237,132,1044.275546
627,398,1045.598237
622,292,1046.652477
624,276,1047.512002
1339,883,1050.481656
1053,599,1052.472808
1909,1048,1056.223674
613,362,1057.514755
237,146,1057.941873
249,112,1058.358757
1902,1072,1061.675505
247,122,1062.069076
1043,725,1064.122509
250,130,1064.545373
1431,668,1066.562812
724,602,1068.402848
640,316,1069.569332
1317,718,1071.813901
243,120,1072.102726
617,362,1073.180346
1057,746,1075.641844
247,128,1075.932096
1340,618,1077.803101
1045,632,1080.093322
249,112,1080.359609
237,132,1080.766725
236,130,1081.180864
246,118,1081.456213
616,340,1082.458225
235,136,1082.894095
756,624,1085.000154
246,132,1085.292427
604,282,1086.210068
1304,957,1089.243095
1920,914,1091.916891
1059,677,1094.228201
1332,666,1096.275762
249,108,1096.545569
1033,773,1098.94166
1332,812,1101.543354
1058,450,1102.935695
607,360,1103.886732
1671,1140,1107.952833
626,260,1108.695987
619,350,1110.028939
618,302,1110.930883
249,112,1111.187465
653,298,1112.17502
248,108,1112.430367
624,330,1113.440622
1053,492,1115.042666
816,542,1116.63581
1305,864,1119.299198
2346,1416,1123.913459
751,474,1125.4353
638,374,1126.770413
620,374,1127.914711
1320,655,1129.899699
1057,448,1131.872196
1325,625,1133.724118
1033,811,1136.288506
615,376,1137.507091
248,106,1137.979921
610,284,1138.786784
1562,842,1141.308048
247,110,1141.697103
1676,1068,1145.239292
812,628,1147.177323
233,130,1147.769564
632,320,1148.757894
1031,788,1151.159586
233,128,1151.476887
630,282,1152.574718
719,486,1154.093722
1044,714,1156.527046
1929,812,1159.183575
620,284,1159.96225
1047,460,1161.692927
750,754,1164.273413
628,338,1165.466835
1034,799,1168.145472
1135,734,1170.724439
1332,623,1172.787246
624,264,1173.619497
1562,982,1177.000727
252,116,1178.425182
246,118,1178.72681
616,292,1179.788585
594,424,1181.209641
1314,778,1183.845115
1323,845,1186.779049
604,366,1188.026466
1326,727,1190.31125
248,110,1190.695458
625,336,1192.049268
1053,545,1193.825798
817,526,1195.694868
1049,653,1197.864347
1688,980,1201.257189
634,316,1202.373679
755,612,1204.413677
1050,649,1206.629662
235,142,1207.151266
609,244,1207.941203
1052,572,1209.879441
621,292,1210.674047
247,110,1211.042635
624,366,1212.358094
636,334,1213.254349
1046,551,1214.913149
246,114,1215.346467
590,390,1216.7181
625,320,1217.673115
237,140,1218.255565
1038,705,1220.674597
605,394,1221.999578
1324,938,1225.307605
241,124,1225.784291
614,324,1226.916325
605,366,1228.02693
1042,557,1229.947992
1700,878,1233.06828
238,128,1233.401108
1331,627,1235.483293
768,702,1237.911884
1428,682,1240.232574
1317,844,1243.665203
1335,667,1245.929874
1067,533,1247.61819
1838,986,1250.493571
625,364,1251.577941
634,338,1252.699269
247,118,1253.242319
614,334,1254.260268
247,108,1254.640521
652,308,1255.522508
1037,716,1257.831137
1157,526,1259.728046
1415,912,1262.56785
601,380,1264.040312
242,116,1264.427372
236,144,1264.756367
1047,486,1266.302881
1047,641,1268.410025
727,660,1270.456012
611,356,1271.712465
718,406,1272.882654
249,114,1273.419929
235,130,1273.753071
729,462,1275.321073
620,324,1276.184797
1336,635,1278.363467
1432,640,1281.068202
238,122,1281.388862
598,544,1283.25899
1920,930,1286.492548
1337,762,1289.063733
742,498,1290.666117
1324,572,1292.691249
630,348,1293.900782
1846,1010,1297.286249
618,264,1298.119839
626,328,1299.344358
248,120,1299.668889
1042,609,1301.707976
1050,617,1303.763393
601,344,1304.976338
1038,667,1307.230361
1043,597,1309.274558
1045,518,1311.076808
1146,644,1313.300542
653,296,1314.35987
1054,537,1316.059023
1041,626,1318.277761
233,130,1318.622837
1048,500,1320.440849
629,264,1321.274896
654,272,1322.139445
1424,760,1324.723573
234,128,1325.204975
1045,539,1327.143988
232,140,1327.514002
1319,659,1329.824464
613,274,1330.694663
1048,453,1332.18002
1434,716,1334.729504
624,312,1335.688766
1696,782,1338.351473
1074,478,1340.148868
