#{"t_start": 1650950672.8170767, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
616,430,748.827576
607,436,750.25909
1139,960,753.579221
1039,786,756.21235
230,160,756.773836
239,160,757.32935
2324,1838,763.551893
1022,927,766.66593
1029,832,769.596726
1022,968,772.819518
228,162,773.399099
1038,762,775.989822
599,418,777.38263
230,162,777.954102
626,428,779.47965
1047,660,781.667098
1079,944,785.044711
1126,886,788.200903
1308,938,791.248457
651,330,792.482125
621,398,793.762941
235,158,794.245684
626,392,795.545889
224,146,795.884408
1028,1090,799.716678
233,160,800.27678
617,442,801.697065
600,430,803.105336
231,160,803.660616
229,162,804.223616
225,174,804.831095
806,756,807.456131
242,134,807.946884
1027,874,810.810568
2318,1976,817.589112
1033,740,820.214464
231,162,820.788925
632,418,822.191151
233,152,822.730215
1312,1016,826.207097
239,140,826.56976
1042,763,829.15012
240,148,829.687406
1027,923,832.786268
236,146,833.153332
234,158,833.707997
1049,642,835.797784
610,422,837.17718
234,160,837.72362
589,440,839.154597
1026,1117,842.993705
1039,674,845.187672
1035,807,848.110536
1023,1192,851.939398
635,368,853.266358
747,770,855.909046
746,614,857.967417
625,322,859.110261
1043,814,861.880501
1131,540,863.745165
1044,690,865.994305
809,688,868.781239
610,338,869.811435
239,132,870.303043
626,302,871.228769
240,126,871.714809
226,162,872.291684
1302,1029,875.803962
245,130,876.292209
233,154,876.695549
1688,974,880.001543
812,636,882.343199
248,120,882.660313
616,370,883.93429
1129,1002,887.420503
650,340,888.611333
609,344,889.660344
1316,727,892.158521
232,134,892.666348
739,650,894.892585
613,414,896.261326
1031,859,899.10076
240,134,899.59787
235,134,900.094913
618,352,901.381441
244,144,901.759124
589,426,903.15905
214,186,903.79034
652,310,904.912237
1309,1030,908.599668
248,128,909.077166
1432,660,911.229094
224,176,911.840727
1560,1092,915.533515
1043,582,917.488706
1575,772,920.112795
615,332,921.341226
250,132,921.693286
1054,537,923.516381
1051,619,925.575416
1563,934,928.658202
239,132,929.076892
630,334,930.128296
1039,647,931.974249
1433,638,934.292761
1038,718,936.432756
241,130,937.003799
238,130,937.414541
1133,1002,940.629633
638,584,942.560613
223,156,942.954559
1432,798,945.6356
1853,1038,949.291861
715,452,950.89379
1039,681,953.090346
614,344,954.341087
782,656,956.629021
1575,864,959.612379
1042,608,961.675414
238,138,962.023483
245,118,962.475275
240,152,963.046849
615,288,963.936476
651,328,965.227867
611,256,966.045015
613,304,967.12764
241,124,967.442987
1045,934,970.747498
615,304,971.685583
1061,708,974.112651
245,124,974.436241
235,148,975.05461
243,142,975.575499
231,146,976.035774
1303,1538,980.908598
807,732,983.469593
628,348,984.653934
242,116,984.947605
622,284,985.96208
1324,760,988.636297
649,364,989.718421
1044,563,991.613045
1040,717,994.054181
244,118,994.366344
616,428,996.024469
237,140,996.383507
596,418,997.751684
1042,626,1000.007112
623,380,1001.143376
620,370,1002.484026
1031,840,1005.298705
809,688,1007.688258
1348,691,1010.009371
624,338,1011.192219
1048,490,1012.91403
247,108,1013.196275
1315,705,1015.720574
1340,673,1017.907246
1055,739,1020.435987
1154,642,1022.643235
1032,744,1025.204047
248,114,1025.495269
1051,592,1027.488323
616,280,1028.592642
623,300,1029.517694
619,258,1030.337331
249,116,1030.791587
604,370,1032.044078
238,128,1032.384576
1334,737,1034.900293
617,368,1036.27929
651,338,1037.454165
1145,732,1039.849331
1341,759,1042.478747
628,300,1043.557537
652,310,1044.519117
1325,711,1046.952554
1056,737,1049.378677
245,116,1049.838482
639,290,1050.897659
1151,598,1052.901285
243,130,1053.236913
732,416,1054.610606
617,418,1056.069566
1431,798,1058.89647
605,284,1059.836491
242,116,1060.111261
1045,567,1061.930922
239,138,1062.45061
234,152,1062.913965
1320,656,1064.792865
617,316,1065.895961
1351,590,1067.485494
617,292,1068.483563
1034,798,1070.992673
1038,845,1073.565959
242,146,1074.024039
1034,953,1077.063653
613,282,1077.822532
247,112,1078.196494
1320,783,1080.952997
1052,578,1082.508547
1426,726,1084.664754
1318,1213,1088.628919
757,630,1090.523163
253,116,1090.896165
250,114,1091.28011
784,524,1092.836581
247,114,1093.392032
247,116,1093.679435
616,276,1094.654636
249,112,1094.907533
730,416,1096.057735
1323,922,1099.060997
1575,768,1101.631285
613,272,1102.361225
245,114,1102.727334
1031,953,1105.77675
1335,775,1108.416719
607,368,1109.513949
252,106,1110.020625
1156,610,1111.900951
1046,618,1113.752082
609,254,1114.467055
628,316,1115.675093
238,136,1115.976288
633,340,1117.004813
608,408,1118.165106
620,378,1119.494581
1325,715,1121.557552
780,538,1123.343619
1029,1018,1126.65665
730,384,1127.991138
617,378,1129.114619
640,546,1130.860279
630,346,1132.547541
1699,814,1135.193703
717,442,1136.46216
767,622,1138.382898
1042,576,1140.214371
244,118,1140.609851
630,320,1141.543385
613,280,1142.45364
1045,573,1144.453055
622,276,1145.219426
1043,592,1147.144352
1303,946,1150.235382
1321,650,1152.17118
235,130,1152.777557
1037,704,1154.953572
624,302,1155.941072
604,358,1156.927992
600,320,1158.132404
1694,850,1160.874957
246,110,1161.241544
248,122,1161.52379
747,488,1163.450278
247,120,1163.755725
1314,742,1166.467314
603,398,1167.807276
631,314,1168.926561
762,490,1170.48865
235,124,1171.047345
625,276,1171.910637
248,114,1172.359296
1315,724,1174.68779
763,574,1176.627162
242,122,1177.093125
608,644,1180.264462
1913,1094,1184.043139
1032,783,1186.77277
249,112,1187.077389
1040,622,1189.155594
629,276,1190.188974
625,364,1191.218972
247,110,1191.602183
236,130,1192.094797
618,260,1193.132717
619,346,1194.36251
628,322,1195.365333
1044,531,1197.226919
1338,767,1199.922577
639,296,1200.839049
631,316,1201.966407
612,296,1202.889449
1344,731,1205.391214
247,114,1205.90965
1056,477,1207.465575
1344,709,1209.927161
251,106,1210.205096
248,118,1210.660463
1412,830,1213.293743
1846,996,1216.268151
1061,603,1218.315011
610,244,1219.162289
611,290,1220.212453
820,476,1221.740895
639,296,1222.655972
251,116,1223.10222
1416,902,1226.468664
1318,689,1228.713244
617,380,1230.013402
1311,819,1232.816347
1347,631,1234.919764
622,278,1235.957318
235,134,1236.305393
1049,615,1238.361797
626,394,1239.770463
245,112,1240.206408
618,272,1241.07895
1028,908,1244.670663
1425,662,1246.939323
609,242,1247.692415
621,344,1248.730365
624,344,1249.895087
603,252,1250.590125
1049,622,1252.379946
625,384,1253.608985
252,106,1254.119123
1043,582,1255.87356
1832,1076,1259.401302
617,388,1260.736117
250,106,1260.997006
236,122,1261.431843
252,106,1261.693145
249,108,1262.09391
246,108,1262.516782
773,584,1264.421766
1044,553,1266.27009
754,516,1267.943069
815,564,1269.739238
230,134,1270.044421
1046,500,1271.871607
234,142,1272.373843
236,136,1272.693449
615,300,1273.604844
1329,634,1275.751156
249,108,1276.015232
610,232,1276.775354
243,112,1277.035671
624,314,1278.022893
627,304,1279.161482
613,360,1280.835846
1050,587,1282.810714
1428,762,1285.408905
814,590,1287.461231
610,352,1288.673292
625,344,1289.709474
248,118,1290.162942
234,138,1290.690531
621,302,1291.628691
252,106,1292.051547
1043,584,1294.116798
1322,584,1295.945793
602,292,1297.002835
247,110,1297.443318
606,376,1298.570782
235,124,1299.036537
249,108,1299.534205
623,312,1300.51278
245,112,1300.954695
226,140,1301.321171
1326,722,1303.803716
247,116,1304.254714
1318,662,1306.496928
1157,568,1308.432803
730,536,1310.165325
1312,934,1313.431839
652,310,1314.550111
609,310,1315.501965
1325,734,1318.011968
608,264,1318.841354
736,440,1320.354127
633,384,1321.648401
249,112,1322.087899
759,526,1323.929788
242,116,1324.234011
1913,974,1327.598419
238,126,1328.080633
1322,811,1330.795018
1043,596,1332.804498
1338,595,1334.877335
247,110,1335.168786
631,338,1336.358296
2648,1288,1340.720798
1039,703,1343.155801
1042,622,1345.216078
636,338,1346.430821
614,334,1347.547545
595,376,1348.88723
649,364,1350.142372
1908,994,1353.340295
1048,518,1355.242327
625,372,1356.511887
236,124,1356.825033
1036,737,1359.195938
624,300,1360.066105
1418,790,1362.681121
1313,773,1365.147299
1327,657,1367.150847
653,280,1368.238155
1696,802,1370.592697
236,130,1371.052145
1573,782,1373.6462
1337,816,1376.380691
236,134,1376.680994
1332,833,1379.590665
604,374,1381.040238
240,130,1381.567998
1332,639,1383.340188
629,302,1384.385888
626,316,1385.208657
616,334,1386.267
252,106,1386.523651
1839,870,1389.61695
252,106,1389.858305
1340,801,1392.201102
251,112,1392.769723
1036,685,1394.801425
1562,870,1397.825412
233,128,1398.118653
1856,914,1401.175467
1325,680,1403.118201
248,108,1403.491204
1348,759,1406.137466
235,124,1406.423799
736,566,1408.086623
243,120,1408.65214
240,120,1408.968264
638,352,1410.129555
639,570,1412.005011
1049,467,1413.506878
583,426,1414.685673
619,318,1415.660584
235,130,1416.235926
1311,829,1418.690856
1050,465,1420.189155
813,602,1422.270761
247,116,1422.715108
245,120,1423.030265
583,574,1425.070141
250,108,1425.501553
636,320,1426.47828
252,108,1426.904645
584,448,1428.361774
1033,743,1430.825768
1067,547,1432.709697
243,114,1432.975017
1150,684,1435.178877
813,606,1437.109814
1315,749,1439.291861
1318,674,1441.486588
650,348,1442.705302
1142,672,1444.671176
245,110,1445.218104
815,566,1446.787497
