#{"t_start": 1650950673.6539598, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
183,8019,43.247253
443,8019,68.601434
723,1486,74.029695
1175,3777,85.951463
630,746,88.494874
620,490,90.108928
1329,775,92.994579
594,546,94.975487
232,172,95.547611
234,218,96.171349
802,830,98.657259
1196,3703,110.547206
576,760,113.76174
993,1755,119.150092
239,170,120.279543
980,2062,126.790515
222,182,127.335383
1289,3284,138.015721
759,540,139.651338
997,1441,144.644977
1276,1683,149.923853
231,192,150.518264
209,200,151.251302
1265,1790,157.100803
599,412,158.267709
669,8006,184.124988
1657,1462,188.692431
246,136,189.120315
623,418,190.381303
221,188,191.06257
740,760,193.646971
1316,1363,197.87888
1654,1626,202.968666
1668,1166,206.677919
591,428,208.206749
228,174,208.705328
776,652,210.667762
741,554,212.298764
585,516,214.021206
1292,1310,218.048509
621,446,219.444839
635,658,221.292289
741,674,223.599905
582,572,225.449961
1130,878,228.043501
1273,1547,232.968886
1044,773,235.318886
779,684,237.748978
657,8015,262.218012
725,514,264.074409
1044,702,265.96344
762,670,268.022474
614,476,269.663575
1030,989,272.461857
1403,1162,276.279431
1316,872,279.029073
1301,1001,282.063496
230,170,282.622001
230,164,283.221564
241,140,283.55966
1299,1074,286.926267
610,454,288.22354
234,168,288.732181
1669,1154,292.390626
230,160,292.898749
230,164,293.277944
773,698,295.655727
751,630,297.415004
729,944,300.452863
1034,720,302.55775
233,166,303.056416
617,480,304.676439
233,158,305.038471
230,160,305.528158
733,590,307.529755
232,162,307.999498
616,462,309.340188
738,818,312.158692
231,162,312.789975
597,478,314.220635
659,8014,339.543306
1410,886,342.302536
618,414,343.512977
230,186,344.054955
636,620,345.976664
233,160,346.463434
230,160,346.957232
626,414,348.14219
1304,1096,352.059856
242,130,352.497685
236,158,353.010281
250,138,353.446936
230,160,353.824894
607,406,355.1526
1039,831,358.066381
220,176,358.480274
613,422,359.789444
791,738,362.383862
231,162,363.118895
231,162,363.911774
722,560,366.197658
239,152,366.566671
662,8005,392.019912
770,728,394.157318
229,164,394.700838
1402,1112,398.252872
1029,925,401.065838
602,508,402.805684
1035,850,405.579655
233,166,406.067016
1325,821,408.780192
807,724,411.224945
618,474,413.070776
605,422,414.531207
224,186,415.501998
1032,897,418.268933
232,162,418.745309
1673,1056,422.041557
234,154,422.387821
1032,980,425.496418
1017,1056,428.951857
740,750,431.034442
1042,814,433.682012
233,162,434.277561
616,416,435.854834
232,162,436.419974
232,160,436.908678
746,760,439.287307
233,166,440.185903
230,160,440.619742
746,768,443.33049
608,434,444.742739
636,624,446.786893
1550,1084,450.832584
621,400,452.229712
760,728,454.607235
1039,846,457.33568
224,172,458.574905
607,462,460.174985
1292,1221,464.111377
1042,792,466.693612
230,160,467.199275
1041,790,469.928114
244,146,470.468841
610,444,471.882319
230,160,472.379498
621,436,473.705524
217,182,474.329854
598,460,475.823396
231,160,476.312089
743,662,478.246722
626,414,479.669549
1395,1194,483.514387
1312,1041,486.728602
238,150,487.27218
1040,824,489.882723
232,166,490.398333
807,722,492.890443
788,1104,496.788713
225,172,497.399622
1025,1100,501.361397
1045,685,503.686459
1021,1152,507.753844
1314,798,510.521044
231,160,511.142515
600,450,512.67731
232,158,513.271229
1031,784,516.421422
243,134,516.819358
1048,675,519.556529
1034,882,523.041351
215,166,523.643201
617,436,525.166341
799,894,528.429955
635,648,530.816134
216,186,531.415531
622,380,532.554898
1302,1094,536.005354
1315,765,538.548011
615,442,539.831861
626,438,541.327418
1036,930,544.369588
230,148,544.834318
628,414,546.064764
581,500,547.677055
766,736,549.984272
1269,1789,556.083766
736,628,558.073501
615,420,559.539809
634,664,562.182002
1516,1874,568.512768
789,714,571.061667
229,164,571.469576
606,476,572.987246
738,616,575.283933
231,160,575.792605
1020,890,578.606269
623,410,579.823078
225,174,580.399077
728,664,582.548295
1663,1304,586.841388
606,424,588.091112
592,430,589.58594
772,698,592.118188
1399,1098,595.953365
588,450,597.608318
1044,776,600.409269
610,440,601.926385
1040,856,605.14017
1032,764,607.962674
241,152,608.362617
1038,732,611.012104
229,160,611.588337
616,412,612.97253
625,478,614.568493
1043,770,617.239481
1030,821,619.838776
616,406,621.233233
1127,958,624.195282
233,162,624.875626
1026,916,627.587909
1300,1073,631.188462
1046,721,633.347171
1672,1166,637.006229
1294,1182,641.512664
1423,824,644.257994
750,662,646.303046
628,416,647.585101
618,434,649.037278
667,8015,676.497625
231,160,676.977849
1305,1081,680.333313
612,660,682.672034
998,1516,687.821493
1019,1124,691.162107
1038,830,693.888162
1046,722,696.513001
610,440,698.060053
1301,1048,701.387856
601,466,702.849579
231,156,703.325307
717,536,705.067971
804,794,707.79427
593,482,709.175685
1398,928,712.235127
1905,1220,716.377742
231,164,716.98323
231,154,717.394537
635,642,719.759869
1310,890,722.654417
635,356,723.79393
1305,995,726.915413
604,428,728.319782
590,472,729.848434
1672,1120,733.730319
1042,824,736.511197
1039,853,739.460295
223,174,740.070471
1037,884,743.103965
742,696,745.414646
627,388,746.715107
231,160,747.288451
1400,1166,751.273347
1298,1107,754.89811
1159,898,758.083089
626,394,759.410895
805,760,761.955117
1045,734,764.39886
1418,962,767.696853
217,182,768.329194
239,132,768.822674
1028,939,771.968672
619,382,773.258734
617,336,774.447912
232,162,775.030267
1041,854,777.946403
600,474,779.516054
226,146,780.054697
1314,784,782.711962
614,396,784.197854
1033,834,787.056841
1147,634,789.168409
1043,553,791.071807
591,478,792.791234
237,162,793.17642
232,136,793.602304
222,172,794.114032
627,316,795.234025
247,142,795.567714
238,154,796.150187
1307,760,798.882787
636,632,800.933955
225,174,801.531863
1299,1108,805.201686
640,558,807.22968
229,160,807.787723
1048,630,809.882382
622,452,811.364852
239,156,812.000844
626,382,813.331888
718,1130,817.191055
1425,742,819.828373
638,344,820.885679
605,398,822.208488
612,400,823.5789
1325,698,826.0593
1122,1040,829.513785
225,168,830.093386
242,120,830.402717
1042,776,832.944916
1038,874,835.923443
1681,940,838.988254
230,146,839.515767
718,594,841.506869
227,148,842.032155
1557,926,845.01271
1303,993,848.421182
234,148,848.957498
1021,977,852.312789
1420,924,855.508004
601,442,856.952796
1033,741,859.551097
631,462,861.053591
620,270,861.921416
1037,856,864.900952
1127,800,867.977297
1343,745,870.349996
2348,1370,875.050855
237,148,875.583014
813,612,877.623981
1055,490,879.216521
245,140,879.809099
1403,840,882.615558
625,384,883.934542
246,136,884.443598
242,138,884.9641
1031,833,887.833293
248,130,888.323429
1047,664,890.513413
650,344,891.719758
625,272,892.58937
244,142,893.183713
1047,674,895.371582
1036,872,898.244745
1050,600,900.30902
626,332,901.477297
651,332,902.630321
236,136,902.977392
1324,751,905.570962
725,476,907.491317
1345,686,909.700464
628,398,911.044735
614,358,912.283851
1339,699,914.650553
624,352,915.866417
241,132,916.358606
1333,845,919.166206
616,374,920.513348
238,128,920.856403
1564,862,923.818515
713,620,925.876099
612,364,927.137337
625,390,928.264943
1302,993,931.454499
784,586,933.391052
1318,682,935.440594
1326,666,937.469777
1067,539,939.258557
616,296,940.229698
634,660,942.503223
1329,613,944.565339
625,374,945.814955
243,122,946.137093
245,122,946.681337
616,382,947.983058
243,134,948.485531
632,338,949.528085
251,130,950.1362
628,368,951.376266
1342,756,954.021058
1318,693,956.397517
233,140,956.906679
636,310,957.854302
612,372,959.096958
1693,850,961.950556
1543,976,965.374686
246,138,965.882464
625,376,967.231673
1008,1239,971.392756
611,348,972.596443
620,346,973.882601
1063,675,975.907252
247,116,976.359014
812,632,978.403556
235,136,978.750802
244,116,979.194617
248,128,979.665802
240,130,979.997914
246,118,980.53004
623,322,981.504694
249,128,981.986406
756,712,984.408195
1298,1078,988.044757
1044,589,990.009206
639,568,991.918473
633,334,993.0787
243,142,993.445714
625,324,994.681206
1042,608,996.695387
607,240,997.462464
248,122,997.928264
815,560,999.86167
246,134,1000.211743
1318,950,1003.519385
246,116,1004.000471
633,372,1005.106614
616,292,1006.171556
247,130,1006.664873
1032,816,1009.461644
235,142,1009.827748
1309,892,1012.892074
1148,778,1015.600072
1322,831,1018.34538
238,132,1018.843533
1054,506,1020.462026
1042,633,1022.651369
618,372,1023.940676
648,390,1025.256645
1417,958,1028.576574
622,380,1029.860421
243,124,1030.183799
633,284,1031.211185
618,388,1032.52672
1415,1086,1036.208362
665,8018,1062.943066
623,294,1063.869214
650,348,1065.059078
246,118,1065.330395
249,116,1065.70883
638,590,1067.513895
1045,519,1068.987455
1034,937,1072.033451
1333,895,1074.777903
619,326,1075.835382
236,134,1076.257688
1037,671,1078.14582
733,372,1079.41389
1061,610,1081.460573
1038,640,1083.279241
2347,1406,1087.821953
234,132,1088.375443
1335,709,1090.300636
734,380,1091.458304
765,574,1093.520548
607,246,1094.29106
244,122,1094.567322
243,136,1094.981369
590,410,1096.345603
1041,607,1098.20716
1065,537,1100.147575
744,508,1101.524342
731,542,1103.126063
1918,882,1106.056437
236,130,1106.810101
651,326,1107.773723
1717,794,1110.387194
1328,702,1112.404435
252,106,1112.779562
231,142,1113.108537
1046,517,1114.90506
617,350,1115.954191
245,118,1116.228766
236,134,1116.640854
