#{"t_start": 1644553171.7345524, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
112,8019,43.31883
27,802,47.277537
684,3180,61.552314
972,1929,70.468861
633,684,73.951334
623,328,75.358121
583,858,79.065791
807,728,81.652902
1235,2650,93.052964
180,286,94.141897
636,622,96.179069
1653,1558,101.455405
776,1352,105.759465
1406,1168,109.406613
709,438,111.598828
594,482,112.935854
710,1196,116.90839
239,130,117.500805
590,456,118.918382
608,448,120.183547
746,448,121.768998
626,690,123.892304
232,160,124.398024
237,154,124.761823
235,148,125.237782
1370,1374,130.08445
230,196,130.820996
241,152,131.467386
1010,1192,136.140123
1300,1192,140.404974
624,434,142.053735
1279,1616,148.629784
624,396,150.031009
632,714,152.719173
1127,1054,155.898629
231,170,156.562437
1305,1071,159.985188
615,284,160.749369
1410,1000,163.67316
1030,778,166.475082
1102,1328,170.680849
625,384,171.91778
1007,1314,176.206413
623,376,177.187557
617,384,178.605349
776,682,180.727259
633,388,181.867153
634,390,183.143551
604,416,184.563677
612,324,185.411813
607,270,186.272775
1018,1248,190.371678
1299,1054,193.505313
628,378,194.768906
1519,1526,199.770063
224,158,200.239783
1028,1028,203.581662
1011,1190,207.353817
639,560,208.872849
204,200,209.700484
595,474,211.233778
733,344,212.435596
789,1094,215.770182
754,710,218.402061
249,176,219.062493
1300,1200,223.586573
639,564,225.608294
603,388,226.72221
1555,1122,230.400249
731,756,233.274517
631,328,234.135637
739,742,236.743584
246,130,237.306823
590,618,239.109274
1153,674,241.127574
1324,1010,244.199261
607,418,245.629238
1152,608,247.531478
1540,1476,252.0776
619,324,252.96988
1054,566,254.899323
1017,1008,258.190161
627,410,259.355256
610,252,260.33724
608,420,261.77182
1039,785,264.083089
242,136,264.408538
614,280,265.578331
1308,857,268.223489
605,304,269.15717
231,146,269.623541
606,396,270.749372
1566,964,273.865925
1043,718,276.090651
241,144,276.430738
612,388,277.8539
1145,818,280.363554
245,128,280.977969
620,292,281.755017
605,340,282.760087
1427,802,285.201539
767,592,287.090643
1185,590,289.130194
1028,909,292.127975
718,512,293.575964
1040,673,295.899279
1692,800,298.213475
242,144,298.549801
229,168,299.075588
626,410,300.606208
1315,891,303.3831
1045,577,305.231496
1035,813,308.071419
637,606,310.003358
1147,762,312.419841
1045,626,314.533449
250,120,314.811705
242,144,315.257933
1556,940,318.199486
1030,1012,321.954314
1040,661,323.80836
1695,1024,327.524176
769,648,329.578998
242,126,330.124855
1023,1003,333.236847
748,540,335.619828
609,404,336.791968
240,132,337.090199
632,394,338.258265
624,374,339.615192
246,138,340.203375
236,156,340.6699
239,126,340.961121
1049,447,342.757662
249,126,343.152634
1397,1376,347.60816
758,732,349.896023
636,342,351.047282
232,146,351.379421
1320,838,354.104865
729,428,355.498087
629,354,356.424831
1035,695,358.983246
604,348,359.988446
1125,990,363.202753
620,306,364.032678
623,416,365.519591
1420,912,368.520111
1566,806,370.932065
231,148,371.459597
817,524,372.934868
616,356,374.285388
1040,730,376.413157
723,504,378.204052
1040,606,379.941833
634,342,381.11
635,368,382.173975
622,290,382.962942
251,128,383.390762
731,456,384.971969
637,342,386.132239
235,148,386.583327
