#{"t_start": 1644553171.7425308, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-70,8019,43.311849
633,4216,63.132477
233,174,64.367329
580,514,66.19653
965,2304,76.487329
1284,1633,83.066603
620,312,84.640564
226,198,85.529603
1252,2000,93.773813
1027,1053,97.567277
212,208,98.181265
616,368,99.266068
234,166,99.653033
631,350,100.882296
209,198,101.614619
795,978,104.788481
1030,852,107.294667
1328,804,110.33259
594,476,112.236737
704,772,114.849961
723,666,116.85952
996,1463,121.676246
718,1632,126.759969
212,176,127.270775
242,150,127.723567
223,164,128.215279
222,182,128.97545
1302,1044,133.113675
1006,1489,139.010057
1299,1192,143.105921
798,914,146.864068
614,428,148.707577
236,158,149.291907
1307,1028,152.953727
238,140,153.381582
1033,858,156.006919
1511,2090,162.611068
587,426,164.168614
607,478,165.749816
1568,800,168.393441
231,138,168.827248
594,422,170.026015
603,426,171.35538
1388,1250,175.249819
605,292,176.311133
246,136,176.622273
1011,1332,180.887802
1008,1492,185.617238
625,410,186.961962
231,158,187.352937
1321,1123,191.13046
1025,1111,194.506608
1028,859,197.184819
715,750,199.717204
611,310,200.528275
1563,986,203.786144
1308,981,206.975831
621,422,208.159787
799,892,211.14701
636,626,213.116384
651,322,213.975802
706,998,217.531164
251,118,217.91408
232,156,218.561832
606,664,221.390571
735,1222,225.569407
238,148,226.021388
248,130,226.43241
1036,669,228.681202
1011,1250,232.97631
1141,722,235.312145
623,460,236.970171
621,406,238.1276
755,526,239.864817
761,708,241.810511
1332,878,244.615955
233,150,245.257233
1033,802,247.744346
1408,1010,250.873343
614,354,251.800305
1020,1025,255.234043
216,218,255.847525
247,136,256.16836
629,366,257.438242
1536,1174,261.318492
1302,936,264.157918
234,138,264.47838
728,514,266.293292
622,334,267.281951
664,8002,292.702222
1334,794,295.369737
606,460,296.636527
625,332,297.632411
235,146,297.970623
237,152,298.457822
1315,724,300.954861
649,364,301.996367
1326,683,304.26393
1046,653,306.47663
245,124,307.032202
1058,457,308.314972
634,388,309.455137
236,136,310.056189
1333,651,312.04001
1040,676,314.326219
1019,1018,317.409894
236,132,317.723924
228,174,318.39596
1052,565,320.547519
639,574,322.554744
1327,687,324.6878
235,140,325.391453
615,270,326.408961
1331,884,329.231927
601,392,330.520827
242,132,330.819997
243,154,331.279589
631,434,332.717744
627,328,333.939006
620,260,335.009144
233,140,335.716299
792,612,337.45594
245,118,337.868313
1036,848,340.689849
615,266,341.414543
600,384,343.029962
743,694,345.209675
252,114,345.470976
1028,875,348.437961
1034,733,350.777088
1058,442,351.996315
244,132,352.476259
238,130,352.91134
759,944,355.985007
814,592,357.649873
612,248,358.876531
627,370,359.932596
1022,1018,363.213692
1067,575,365.164412
760,614,367.088696
239,152,367.439729
1312,1039,370.806401
1320,833,373.453522
1342,698,375.53205
610,284,376.426124
251,136,376.740281
608,354,378.184134
609,318,379.138215
624,474,380.625054
733,702,382.690669
624,322,383.56678
246,130,384.083414
651,322,385.416276
244,124,385.697714
243,140,386.127253
240,130,386.534431
1428,764,388.851315
610,284,389.88953
1312,1235,393.785732
816,556,395.420623
226,146,395.761705
736,516,398.192797
234,152,398.650405
606,396,399.948487
638,350,401.154492
1047,502,402.539259
610,332,403.952745
1042,595,405.637261
