#{"t_start": 1644553171.7255762, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
67,8078,43.611297
648,3914,61.181695
618,988,66.393005
232,166,67.074183
585,558,69.621367
800,864,73.572202
245,156,74.454059
230,182,75.218497
1025,932,79.205445
694,1118,83.704229
207,244,85.000382
1325,1183,89.830307
225,176,90.496646
774,1140,94.864444
218,174,95.435063
627,358,96.839057
1009,1265,100.857363
1035,940,104.080376
926,2847,113.749351
230,164,114.40717
1225,2734,123.121428
748,686,125.133063
601,586,127.115191
574,486,128.455738
229,202,129.398679
747,1926,137.086268
1398,1192,141.275666
646,430,142.923408
752,1396,148.699627
1121,1270,153.139231
221,186,153.675824
615,278,154.563804
1300,1372,159.08725
1286,1266,162.845413
1651,1426,167.725228
1106,1316,171.821336
578,428,173.319398
607,382,174.422169
636,636,176.419844
607,380,177.590365
245,130,178.184803
578,458,179.651053
1301,1124,182.829816
241,162,183.449762
641,536,185.239109
647,380,186.350599
1300,1017,189.559655
236,156,190.270947
719,886,192.892965
718,608,194.821765
239,162,195.476747
731,772,197.779096
1044,952,200.850414
1298,1173,204.662821
758,706,206.984804
1367,1690,212.420636
1312,821,214.843325
2990,2506,224.256751
250,134,224.841346
1329,770,227.077851
227,152,227.437858
1029,836,230.313328
233,156,230.700447
247,126,231.264937
621,418,232.937325
619,394,234.086796
605,408,235.491663
614,438,237.085855
1036,686,239.155152
1305,1067,242.42667
1413,1034,245.669159
1303,1032,248.995489
612,290,249.908093
621,382,251.00898
1691,880,253.683232
1042,987,256.724844
1047,665,259.045087
1029,899,261.987696
235,138,262.415868
1433,684,264.388625
248,122,264.940116
232,166,265.584315
1055,749,267.637088
240,142,268.325246
1301,1167,272.011545
1049,652,273.97264
237,166,274.524167
1904,1022,277.824949
651,338,278.815528
1687,970,281.999526
1040,596,283.864616
615,306,284.67008
633,366,285.76869
234,156,286.272785
814,580,288.427143
623,310,289.24785
1018,1071,292.720183
623,394,293.906059
1148,776,296.46396
612,326,297.322837
609,406,298.518883
240,152,299.00846
1038,648,301.187381
623,276,302.032306
626,406,303.380105
1058,665,305.533491
1041,825,308.304002
247,124,308.701088
247,138,309.025398
1323,572,311.032389
1041,589,312.799825
640,556,314.726934
613,290,315.615992
725,480,316.996722
251,128,317.429839
245,122,317.718936
239,140,318.306173
608,268,319.314655
1842,986,322.725334
1337,813,325.584486
242,136,326.247421
251,120,326.63735
1043,571,328.205056
1131,838,331.04724
1040,694,333.183029
240,144,333.83027
763,698,336.440937
1853,996,339.597242
1322,768,342.144189
1040,617,344.36801
632,704,346.678369
1687,890,349.309742
607,408,350.789056
606,350,351.798804
1068,583,353.582708
583,510,355.300105
637,312,356.242319
627,430,357.520248
236,134,358.128298
241,122,358.429456
241,140,359.10891
247,116,359.485338
723,378,360.593552
734,550,362.44334
809,688,364.513734
626,400,366.072947
636,324,366.926058
1040,649,369.196545
622,340,370.082403
611,386,371.184362
764,548,372.90697
741,756,375.388434
630,330,376.384237
1346,642,378.604955
249,120,378.879383
1332,872,381.606492
1312,830,384.090397
237,150,384.744571
652,316,385.751598
240,138,386.178116
607,394,387.295833
651,320,388.464378
230,162,388.865277
246,122,389.415479
240,128,389.8277
248,136,390.139834
1027,925,393.227351
623,286,393.987804
1034,725,396.184963
1032,825,399.38447
818,514,401.255221
612,408,402.411548
622,412,404.017596
628,320,404.852233
237,140,405.28221
1039,586,406.97657
246,144,407.545352
803,818,410.090466
618,382,411.38301
809,698,413.46538
242,136,413.892266
606,418,415.442349
615,314,416.564454
1329,632,418.381669
1336,711,420.64419
612,386,421.774529
635,338,423.16141
1032,945,426.091247
631,320,426.944826
815,526,428.557283
245,122,429.151723
250,124,429.458905
234,160,430.096196
610,264,430.80826
609,250,431.604736
1046,528,433.247532
1040,644,435.194615
234,146,435.727604
607,334,437.042442
1317,907,439.585131
603,410,441.039704
799,676,443.153404
1063,571,444.990981
1415,960,448.143303
1903,1162,452.557845
1023,920,455.735448
607,392,457.047728
236,150,457.558146
250,128,457.939214
611,244,459.065239
739,434,460.464936
650,354,461.502335
1034,735,463.958106
1034,763,466.284858
1043,612,468.054903
251,114,468.666678
632,308,469.745592
611,268,470.622949
615,262,471.371423
252,114,471.656685
249,116,472.299939
243,120,472.91526
627,266,473.815097
245,130,474.329575
238,138,474.754438
247,118,475.254102
612,396,476.735478
243,134,477.286224
635,296,478.083425
633,318,479.044787
653,284,479.99325
1067,579,481.650954
1045,561,483.68582
226,180,484.209662
253,116,484.589429
622,346,485.683483
1138,930,488.851101
251,122,489.133472
640,556,491.088255
1040,604,492.784455
1043,583,494.547921
604,374,495.820181
235,142,496.259115
610,352,497.178775
252,114,497.567688
640,294,498.381259
1047,528,500.249864
245,114,500.622379
630,314,501.518312
1026,915,504.508936
1339,809,506.954256
612,372,508.297475
1020,1066,511.351523
652,312,512.594488
634,320,513.437702
626,318,514.457903
1705,774,517.079932
631,334,517.957792
623,338,519.098712
628,298,520.081707
1325,707,522.391707
623,400,523.528176
1862,898,526.582739
1427,838,529.306698
1577,784,532.182709
604,368,533.71037
613,240,534.3625
625,328,535.215829
1141,646,537.497153
633,304,538.296301
629,300,539.197378
1043,571,541.063498
624,302,541.941119
622,290,543.002713
1049,847,545.451738
1321,783,548.109039
1038,610,550.026652
630,318,550.866669
1046,484,552.580477
248,112,552.855992
626,340,553.994554
250,120,554.377028
1347,604,556.135324
240,132,556.444522
1346,607,558.458632
609,328,559.509819
1435,638,561.666413
622,364,562.722589
1036,758,565.305502
1148,600,567.013112
629,324,567.897557
248,116,568.40517
1338,838,570.9657
1045,544,573.149068
235,130,573.55818
1432,718,575.571807
1044,588,577.591178
246,118,578.061235
1038,680,579.979114
623,562,581.952789
635,300,582.749657
252,114,583.135669
252,120,583.69419
610,250,584.615576
236,134,585.034489
628,314,585.867437
638,334,586.887887
1043,585,588.92545
617,298,589.731147
1432,766,592.242498
246,122,592.805092
1339,685,594.714628
815,570,596.572895
608,234,597.468879
611,380,598.665112
248,114,599.042207
653,296,599.864483
762,670,602.013965
627,306,603.012682
711,432,604.452564
628,314,605.631826
612,262,606.566404
1045,529,608.648549
1047,533,610.082084
1036,726,612.6278
642,294,613.514431
654,278,614.462871
1051,429,615.825848
1045,555,617.509669
627,330,618.667169
651,322,619.713755
1047,493,621.178991
251,112,621.442287
725,442,622.972307
244,138,623.667447
622,348,624.959167
1439,626,627.182646
1427,734,629.370306
613,322,630.438294
1045,619,632.579356
1317,1109,636.125338
734,352,637.27171
1344,555,639.232249
243,128,639.656141
1437,652,641.728018
632,306,643.182152
819,484,644.600438
605,254,645.584599
236,130,645.881803
1047,649,647.844983
611,336,648.769971
625,328,650.065108
233,136,650.485209
611,414,651.66419
614,398,652.859505
607,290,653.830797
612,292,654.898339
1345,763,657.275985
608,388,658.528154
1297,1242,662.425815
1062,452,663.68293
231,140,664.137478
622,408,665.489742
240,124,665.792922
1151,540,667.499519
1340,727,670.013466
251,112,670.28078
606,378,671.371209
1340,688,673.614607
247,106,673.97376
248,132,674.385266
252,106,674.624626
247,114,675.068906
716,398,676.415681
249,124,676.701949
636,336,677.896749
604,258,678.75246
235,128,679.15938
613,312,680.08717
234,136,680.428257
247,112,680.971156
251,114,681.262378
604,256,682.286092
1045,511,683.683104
610,292,684.623369
1038,699,686.910133
632,302,687.903506
1148,794,690.267277
1041,633,692.352406
651,336,693.51989
608,278,694.337169
636,284,695.099833
249,112,695.480922
626,292,696.279822
238,134,696.815674
617,338,697.968654
633,304,698.768329
247,112,699.132118
630,376,700.523487
629,316,701.536618
623,376,702.611014
1046,674,704.968863
615,266,705.679394
609,280,706.433732
248,112,706.891536
1322,773,709.471881
1045,581,711.178535
764,612,713.341333
618,366,714.506009
764,624,716.363906
639,326,717.223995
613,244,718.04598
641,534,720.273903
236,130,720.692754
233,150,721.151715
809,698,723.413251
1688,1074,726.974354
240,122,727.274552
252,106,727.656554
243,126,727.963862
1040,640,730.244635
630,308,731.129849
1350,647,733.203346
1316,861,735.972469
610,338,736.879158
612,238,737.669997
1044,592,739.723279
1048,552,741.438477
233,136,741.886425
252,106,742.129804
633,298,743.068446
606,374,744.50522
1054,415,745.789757
1073,397,747.096122
621,330,748.085495
1705,722,750.27918
652,302,751.38876
1044,533,753.221611
633,276,754.136913
1052,572,755.886368
236,136,756.21236
606,394,757.715478
1312,781,760.10499
1434,766,762.697158
245,118,763.126662
252,106,763.373538
243,122,763.777684
641,290,764.552687
637,604,766.477338
615,434,767.698503
609,364,768.796738
639,314,770.023787
248,116,770.296712
815,562,772.041269
651,322,773.203881
251,112,773.484208
247,114,773.988599
251,114,774.368584
597,504,775.807758
1699,758,778.276122
231,140,778.733437
632,302,779.564845
251,116,780.092502
1036,718,782.372862
1039,670,784.602373
633,336,785.772652
609,256,786.585466
616,308,787.439873
248,116,787.847782
247,118,788.141258
233,128,788.594047
763,596,790.658365
1042,637,792.488718
244,120,792.913617
633,302,793.767716
250,116,794.203708
238,130,794.817069
652,302,795.82343
237,130,796.233571
1423,788,798.823561
1424,704,801.15008
614,342,802.158951
249,118,802.749496
1065,539,804.369936
652,306,805.359416
1344,534,807.00746
649,348,808.585342
742,598,810.93497
1340,702,813.880911
612,284,814.810555
1693,890,818.146064
1573,838,821.405388
2354,1205,826.007914
606,240,826.79082
1347,558,828.91678
1044,557,830.839163
1419,968,834.441131
235,126,835.067456
635,292,836.126545
1703,842,839.096983
250,106,839.396183
1050,449,841.314542
245,116,841.625348
1437,662,843.855661
607,282,845.130792
764,528,846.982808
636,298,848.030189
1049,464,849.71939
630,332,850.966462
621,254,851.821342
251,112,852.265197
252,106,852.572392
1034,745,856.147011
772,590,858.325757
769,718,860.898459
236,130,861.289918
634,274,862.490748
631,276,863.487364
1052,577,865.663896
1048,506,867.631322
1063,617,869.806845
252,114,870.134966
639,288,871.333789
1350,507,873.498558
634,318,874.920769
1420,912,878.021195
619,352,879.514418
2342,1462,884.727528
610,262,886.067184
626,322,887.65436
641,534,889.684596
612,362,890.968684
818,518,892.934647
1693,768,895.705554
629,358,897.089868
251,114,897.766213
1345,619,900.004915
640,540,902.220612
233,128,902.569678
1325,643,905.012486
814,592,907.304132
1428,764,910.08679
624,262,911.125649
1432,680,913.794924
638,328,915.127663
611,238,915.951547
629,372,917.461224
1349,546,919.266626
253,116,919.824353
610,322,920.970171
237,130,921.336322
620,356,922.588492
614,390,924.124166
1040,625,926.298738
247,116,926.784576
252,106,927.087799
1144,734,929.790482
612,234,930.583371
613,278,931.601336
250,106,932.203135
247,108,932.630732
633,322,933.680938
1040,613,935.920642
251,112,936.380402
785,574,938.615638
1041,615,940.787342
238,132,941.168837
606,352,942.630796
253,116,943.096554
238,126,943.454602
620,390,945.013865
1064,547,947.042526
251,114,947.643948
252,106,947.942149
607,280,949.005952
1306,923,952.229208
610,290,953.395725
735,442,955.131181
637,330,956.53744
1342,635,958.75064
1048,510,960.678753
607,358,962.050616
807,722,965.012518
622,340,966.180102
253,116,966.647357
235,124,967.135053
608,258,968.016277
1148,566,970.421312
607,306,971.598045
622,282,972.886114
1049,488,974.578711
1317,834,977.800322
1057,492,979.686244
610,272,980.58952
1047,529,982.635606
247,108,982.946776
630,286,984.131038
635,356,985.554152
1044,569,987.53725
248,106,987.986077
623,258,988.856913
640,282,990.06659
253,116,990.400581
1044,581,992.647918
1697,776,995.59374
252,106,996.177102
1347,600,998.352116
618,296,999.416641
1035,765,1002.329715
610,250,1003.211113
636,354,1004.501492
1046,502,1006.581564
1318,804,1009.519897
1052,561,1011.660365
237,130,1012.160556
1581,770,1015.09619
599,316,1016.261623
217,162,1016.847056
610,266,1017.857555
641,290,1018.804033
235,134,1019.330438
1045,531,1021.23631
2342,1430,1026.81611
602,268,1027.692504
1031,792,1030.769912
1342,739,1033.531658
1866,834,1036.63566
249,110,1036.958796
236,134,1037.59039
786,496,1039.274033
633,302,1040.397044
247,126,1040.898316
634,362,1042.206636
1435,580,1044.381924
1038,626,1046.668132
251,112,1047.242064
640,282,1048.194376
1160,566,1050.202879
252,106,1050.637716
623,322,1051.802917
250,114,1052.399703
621,302,1053.716857
749,482,1055.331702
235,130,1055.945063
251,112,1056.265206
813,618,1058.382717
612,348,1059.887593
250,106,1060.326478
1309,860,1063.420115
238,130,1063.95782
252,106,1064.265192
1337,775,1067.256838
1435,670,1069.701732
636,332,1070.862185
1340,728,1073.551944
621,336,1074.622762
632,318,1075.788177
252,106,1076.1073
1336,611,1078.561613
1333,599,1080.866941
1048,509,1082.675143
1327,878,1085.664319
1328,723,1088.441347
1051,421,1089.901268
613,322,1091.260498
236,130,1091.62253
773,560,1093.793244
605,306,1094.941881
612,232,1095.93143
626,304,1097.050943
1316,700,1099.52428
639,300,1100.620944
606,300,1101.684604
634,312,1102.847527
249,110,1103.146234
243,116,1103.607288
619,350,1104.757076
1336,851,1107.995897
1348,559,1110.230207
620,324,1111.4246
252,106,1111.864424
251,112,1112.203051
765,554,1114.553388
238,124,1115.027856
638,298,1115.991039
749,478,1117.926959
1349,540,1119.739468
1045,555,1121.854574
617,248,1122.667818
1047,461,1124.524382
596,384,1125.958563
634,302,1127.139539
633,328,1128.332151
1035,793,1131.232547
252,106,1131.544745
235,132,1132.041725
250,116,1132.36486
742,686,1135.027408
1047,550,1137.125198
1049,496,1138.794175
612,238,1139.736011
1042,610,1141.917147
641,330,1143.100004
1697,728,1145.799592
625,322,1147.144694
246,112,1147.680262
1329,701,1150.221354
740,500,1152.019728
252,106,1152.333889
253,116,1152.913674
253,116,1153.360568
251,112,1153.674728
1858,800,1156.675123
603,278,1157.747008
620,262,1158.619831
610,374,1160.083901
629,296,1161.052295
607,288,1162.211967
252,106,1162.515341
613,280,1163.667823
604,262,1164.658425
1338,750,1167.292274
248,116,1167.616408
605,430,1169.253154
1343,636,1171.796546
1427,800,1174.584798
235,138,1174.978744
252,106,1175.618882
608,338,1176.93153
1053,549,1179.362049
618,296,1180.476354
252,112,1180.792817
250,114,1181.254609
619,250,1182.103576
252,106,1182.749847
810,660,1185.105789
251,114,1185.594513
814,582,1187.830817
251,112,1188.15767
819,496,1190.094024
1148,598,1192.397157
1035,708,1194.803625
1041,636,1197.175495
606,390,1198.743753
816,558,1201.580509
251,114,1202.124156
