#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
649,364,612.606877
629,330,613.576582
618,316,614.615435
1042,626,616.521016
798,688,618.816803
1043,560,620.612477
640,292,621.391423
607,296,622.475409
248,112,622.747089
1042,659,625.320203
619,380,626.76587
638,318,627.719234
599,502,629.260598
236,130,629.567082
1043,583,631.651506
235,134,632.164998
237,138,632.585339
607,262,633.606235
1926,880,636.209083
250,120,636.681007
650,346,637.745882
1439,652,640.067671
612,378,641.263264
732,424,643.076462
610,258,643.891507
1047,519,645.589555
629,316,646.423155
1151,616,648.20103
248,116,648.607404
1052,437,650.154863
632,322,651.12537
1918,1104,654.628041
1042,601,656.437978
1035,705,658.848543
612,334,659.842929
613,388,660.891555
1324,703,663.164144
235,126,663.566241
252,122,663.864443
1434,762,666.43247
230,146,666.880991
251,120,667.154392
1303,1121,670.799852
637,604,672.718935
244,124,673.251392
628,342,674.146293
1330,912,677.08891
795,966,680.18391
1332,569,682.267142
733,612,684.031006
603,286,684.830786
1031,788,687.430769
623,308,688.523647
627,308,689.338471
619,330,690.327116
235,134,690.78898
1430,792,693.366242
235,134,693.789873
1040,614,695.612599
252,106,695.991593
627,320,696.960289
1038,687,699.106186
1329,643,701.401943
250,128,701.803872
630,266,702.521254
1436,710,704.963876
653,296,705.741199
618,358,706.873586
1037,706,709.040039
819,486,710.670717
632,340,711.704222
721,406,713.257542
605,290,714.147422
249,116,714.522963
612,334,715.494203
231,140,715.926049
625,356,716.965685
1048,454,718.273662
623,372,720.127705
624,360,721.177645
624,320,722.045428
1042,629,724.116729
236,132,724.53231
627,268,725.260463
1040,641,727.649582
614,316,728.55129
623,324,729.754173
628,272,730.603956
624,318,731.613555
250,106,731.897794
1050,457,733.487402
1047,443,734.895226
653,296,735.736006
1068,487,737.224605
1041,667,739.564702
252,106,739.958756
1704,756,742.137783
623,254,742.974725
651,328,744.038997
631,338,745.180385
1431,730,747.602335
1036,633,749.418123
1049,473,751.091008
1043,572,753.100836
250,116,753.496731
621,360,754.612541
611,262,755.365336
1048,478,756.920464
1428,788,759.504056
621,296,760.547437
1039,622,762.581467
1037,723,764.621474
612,294,765.719414
623,260,766.436114
1035,682,768.482548
249,116,768.753823
628,356,770.077161
1050,465,771.48947
1038,680,773.852961
232,136,774.158145
710,468,775.609289
639,312,776.652655
1032,744,778.913954
610,256,779.636626
1031,801,782.366877
1568,946,785.615073
248,116,786.013008
727,410,787.202507
1048,478,788.630947
249,122,789.034868
1143,790,791.667639
627,266,792.410924
1331,922,795.621968
1048,488,797.017362
610,294,797.945005
235,138,798.512392
1348,565,800.242178
1331,869,803.221427
1343,648,805.338472
1330,779,808.168437
245,136,808.680598
235,124,809.253065
2324,1850,816.238596
632,328,817.491252
1430,652,820.147005
1048,507,822.015266
631,394,823.411769
1048,493,825.223662
617,302,826.554452
629,320,827.551807
1344,637,829.888747
1023,974,833.43385
633,374,835.096378
815,576,837.180934
1436,666,839.424107
1040,631,841.956673
636,284,842.859787
251,112,843.312095
250,108,843.6128
619,306,844.95974
606,278,845.869741
619,308,846.977821
632,310,848.057626
237,130,848.688643
641,336,849.758285
627,328,850.99339
625,302,852.117813
816,542,854.551421
1341,714,857.552358
249,110,857.856983
248,126,858.32077
630,322,859.489846
1329,652,861.947191
624,338,863.212816
623,292,864.217743
1331,937,867.779924
1321,741,870.545888
618,352,871.721751
620,322,873.317042
618,372,874.905807
1572,780,877.635719
628,288,878.667319
611,276,879.846529
1344,633,882.183938
652,304,883.203228
632,310,884.348541
2351,1294,889.781336
1044,531,891.652462
