#{"t_start": 1644553171.7315605, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
51,454,5.793956
78,8078,45.827358
171,394,47.648135
118,458,49.783869
983,1957,58.425756
719,394,60.157167
229,192,60.994962
629,474,64.38827
716,2558,75.448879
214,198,76.207052
727,936,80.153982
775,776,83.300976
611,302,84.686441
1653,1652,91.6255
218,208,92.63209
1020,1051,96.194057
236,194,96.966722
803,706,99.265099
246,144,99.601171
671,8002,126.029948
954,2527,135.518403
614,390,137.007449
585,486,138.960191
228,176,139.480798
215,202,140.051061
606,536,142.046753
616,422,143.60565
980,1851,150.950499
1254,1998,157.399767
235,156,157.872463
702,1434,162.353342
1029,934,165.685957
801,852,168.45425
609,370,169.52941
637,604,171.379315
605,412,172.75303
623,382,173.961607
643,484,175.343568
611,354,176.537529
223,164,177.035933
812,626,179.253613
746,588,180.918718
1119,1250,184.870935
589,468,186.297736
246,130,186.601895
737,586,188.611531
242,154,189.069965
621,330,190.292889
618,430,191.653759
794,670,193.546206
1340,801,196.17933
605,410,197.413077
636,636,199.681328
246,132,199.984517
1406,1152,203.716303
247,136,204.138123
622,344,205.062781
1017,1083,208.56171
1014,1120,212.102482
741,674,214.294655
239,138,214.626739
716,1454,220.441866
805,762,223.087406
247,142,223.432953
245,134,224.131114
226,144,224.765552
651,324,225.621231
608,462,227.031972
1037,717,229.364426
244,130,229.847835
707,906,233.071054
1028,861,236.001377
1134,994,239.103262
1042,780,241.467428
625,324,242.458555
242,134,242.94239
1134,814,245.49662
248,138,246.097944
651,334,246.988689
606,432,248.337982
240,162,248.718802
221,202,249.408458
238,148,249.978903
1551,1032,252.952954
609,302,254.175073
1031,853,256.645085
1029,878,259.456958
2328,1745,265.145595
632,412,266.431922
1036,870,269.377912
813,610,271.116833
237,146,271.484852
636,638,273.70336
246,140,274.020483
241,142,274.518182
228,158,275.027023
239,142,275.488011
602,450,276.954515
611,298,277.889805
745,640,279.967446
620,366,281.147515
244,126,281.552589
633,364,282.606937
630,358,283.819699
1411,900,286.391468
242,138,286.933092
1322,1118,290.422131
1037,732,292.899692
698,900,295.90723
244,128,296.1977
242,132,296.611564
631,294,297.398603
1031,831,300.301025
758,720,302.266644
1337,943,305.447721
622,290,306.51054
613,360,307.719364
1309,1221,311.55129
244,126,311.960224
606,356,313.254581
1038,733,315.416481
608,260,316.254868
621,334,317.171474
585,428,318.586305
246,138,319.220933
608,380,320.637308
1049,667,322.829056
609,346,323.850245
1339,821,326.972651
247,132,327.400508
746,590,329.311743
1283,1613,334.82464
814,596,336.860814
1014,1184,340.700819
246,120,340.978106
627,406,342.644964
1412,1096,346.043021
1546,1376,350.622529
649,366,351.664192
236,134,351.97137
610,288,352.943255
1560,1002,356.151562
625,356,357.247976
1335,818,360.0164
1333,807,362.706632
1426,832,365.364007
1424,752,367.705999
609,382,369.129755
