#{"t_start": 1644553171.7405362, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
-55,8078,43.596337
964,2345,54.573675
185,394,56.363138
1601,2430,67.810383
221,166,68.616227
776,1358,74.599641
1306,1422,80.479147
1013,1072,85.18489
226,192,85.98699
751,804,89.425229
1323,1123,93.840698
1654,1244,98.183259
614,576,99.873722
231,174,100.28662
628,338,101.626588
248,114,102.03351
815,566,103.961691
1294,1059,107.099163
1023,921,110.824166
238,156,111.214647
1045,754,113.762344
241,184,114.465971
803,812,116.931327
224,180,117.64539
1281,1434,122.197892
625,540,123.870335
972,1983,130.588691
976,2018,138.728714
1028,871,141.466158
891,3756,155.227489
1039,815,157.871466
619,404,159.286868
607,280,160.183108
1304,1195,163.66618
607,262,165.045815
236,136,165.362947
700,1328,169.56133
1037,886,172.462807
772,1428,176.861428
1125,1000,180.146757
647,410,181.310717
246,154,181.792353
233,172,182.194885
1026,986,185.402832
620,342,186.431351
1320,1194,190.411571
581,464,191.836985
240,130,192.242742
1399,1354,196.573292
246,144,197.011283
621,340,197.923709
732,586,199.945594
239,160,200.41854
1024,932,203.538808
597,418,204.743605
770,1098,208.170756
630,372,209.50497
612,378,210.715434
231,146,211.172941
639,562,212.9919
782,712,215.053464
592,518,217.209
244,124,217.490274
232,158,217.961923
1421,838,221.527207
749,872,224.745573
249,136,225.053782
1012,1199,228.848782
217,168,229.341488
1140,622,231.443775
235,162,232.188303
247,136,232.709938
1030,847,235.406861
597,428,236.982138
1033,950,239.911691
241,156,240.378309
233,152,240.721363
231,160,241.195393
250,160,241.666867
240,146,242.257122
1326,689,244.239202
243,142,244.72367
650,344,246.101933
249,122,246.382269
746,606,248.117514
619,402,249.410452
629,632,251.414333
607,660,253.453614
639,574,255.329732
231,160,255.806635
617,332,256.69991
243,130,257.290637
1294,1307,261.486074
606,576,263.218429
246,134,263.669224
232,144,264.140962
1873,852,266.840596
238,150,267.293919
1324,710,269.644514
1318,1183,273.374459
237,140,273.806088
1026,944,276.818672
615,382,278.074996
1020,1184,281.739088
223,178,282.252879
1337,714,284.502528
764,518,286.078952
247,134,286.408451
632,354,287.766845
722,468,289.225938
239,150,289.680115
746,654,291.728066
627,290,292.76103
626,322,293.664721
628,336,294.862054
232,172,295.507342
243,132,295.917203
621,350,296.823
1303,985,299.935299
248,118,300.475558
240,148,300.919952
1030,821,303.433932
234,146,304.05053
611,270,304.787265
241,140,305.239502
227,148,305.723981
810,664,308.069428
1035,1178,311.80464
1134,898,314.70898
1043,529,316.279801
1873,1786,322.481969
249,128,322.776197
237,168,323.275003
1026,912,326.709158
251,122,326.993567
249,126,327.407489
771,768,330.004209
622,348,331.015325
620,360,331.965754
1298,1040,336.091491
613,274,336.838873
1427,774,339.349903
1036,721,341.588283
622,268,342.805535
638,582,344.681089
1033,961,347.846573
244,144,348.179684
249,126,348.574624
243,122,348.852851
246,118,349.245916
600,370,350.646475
239,148,351.092195
607,358,352.008244
1315,1050,355.526016
1308,737,357.635941
625,362,359.128856
759,590,360.861835
603,358,362.24783
762,686,364.173438
1314,792,366.881178
752,464,368.485233
1037,657,370.448425
249,134,370.871228
1037,733,373.017677
245,128,373.598135
739,478,375.049036
249,118,375.433313
248,140,375.86745
1054,518,377.489967
1048,674,379.701476
610,440,381.108005
1899,1306,385.12144
1654,1142,388.769533
1858,866,391.73456
610,624,393.65209
812,630,395.45652
610,332,396.390525
235,136,397.018509
227,162,398.151906
243,122,398.550702
1406,1096,401.963929
1043,547,403.989647
715,472,405.285205
623,266,406.122302
241,122,406.406066
611,306,407.466533
1039,675,409.523981
649,374,410.682908
1322,783,413.245966
636,310,414.082756
1034,776,416.829775
1048,488,418.319835
249,120,418.605072
1420,946,421.629914
586,438,423.253161
585,472,424.662664
618,324,425.706259
1043,617,427.493584
250,132,427.934739
236,134,428.383747
814,582,430.444696
248,136,430.757425
1332,625,432.555317
604,282,433.759694
252,114,434.022961
612,376,435.097903
245,122,435.561078
618,308,436.595958
1040,622,438.579152
244,126,438.878351
1038,793,441.372162
631,306,442.516083
619,294,443.291035
607,342,444.324705
814,586,446.339699
1040,632,448.385654
1322,1094,452.749543
632,328,453.619333
1428,824,456.628887
1821,1070,460.413074
630,322,461.265795
252,114,461.643959
226,146,462.180413
632,406,463.687801
625,294,464.466718
759,584,466.28087
604,390,467.406799
249,122,467.808496
754,554,469.842251
637,328,470.846606
249,114,471.24177
602,388,472.864395
252,114,473.203517
614,298,474.327579
615,342,475.521386
636,336,476.790331
816,546,478.514833
1039,655,480.53452
1339,778,483.17918
623,336,484.166748
250,114,484.5366
604,264,485.446286
248,124,485.738336
253,118,486.159745
1332,675,488.413267
1069,473,490.075757
1854,948,492.845294
608,322,493.857768
251,116,494.133002
251,112,494.534955
1345,625,496.490645
818,506,498.023189
1336,686,500.258839
247,110,500.625372
619,404,501.850613
236,126,502.155796
250,130,502.739325
1036,750,505.038135
1046,529,506.621178
628,342,507.735198
641,294,508.806198
610,228,509.443929
1345,628,511.261804
1035,707,513.524441
234,132,514.00328
248,122,514.398035
237,134,514.714365
1049,496,516.555088
235,136,517.001143
773,502,518.380632
252,114,518.896224
248,114,519.157554
232,142,519.606375
609,254,520.368122
1339,743,522.872447
645,442,524.141038
633,370,525.552301
250,118,525.938525
618,370,527.080553
607,304,528.08531
628,354,529.281764
625,312,530.112415
1032,736,533.108976
634,314,534.27274
251,112,534.526702
653,282,535.396374
608,286,536.179156
1428,744,538.649783
630,372,539.943267
609,262,540.658975
247,114,541.037595
232,142,541.369678
812,632,543.394693
609,350,544.435726
1415,900,547.519913
780,532,548.956135
1036,743,551.285549
617,328,552.525624
250,112,552.802107
654,278,553.805092
1039,658,555.662279
619,430,557.036451
635,334,558.188352
1037,533,559.712248
237,128,560.13714
603,364,561.534771
251,112,561.789088
1175,672,563.949097
616,370,565.24563
630,276,565.983657
235,134,566.401573
251,112,566.657882
1039,672,568.983941
1333,563,570.619596
1038,673,573.1112
2349,1353,577.363599
610,246,578.127832
631,322,579.085238
622,268,579.843504
250,128,580.428895
626,354,581.524215
1048,510,583.030919
249,112,583.30922
1037,698,585.742799
632,280,586.505864
621,358,587.603006
628,370,589.003403
631,340,590.01464
1046,555,591.634946
623,286,592.863934
628,308,593.6817
1329,945,596.624724
252,114,597.229259
252,108,597.496803
251,112,597.968624
252,110,598.217292
1142,642,600.327277
236,134,600.643436
608,242,601.424542
250,124,601.715733
247,116,602.096714
630,344,603.187695
619,398,604.538332
1704,730,607.449664
612,364,608.70038
613,264,609.400507
1344,644,611.514741
249,114,612.02605
600,276,612.758423
1048,481,614.375106
1321,741,616.737438
251,114,617.003419
252,112,617.39275
648,382,618.67418
1311,970,621.535039
251,112,621.920875
1052,426,623.664455
601,346,624.953165
250,116,625.603415
628,304,626.592211
232,136,627.016089
1691,920,629.628917
1835,1050,633.486556
1043,593,635.335377
248,126,635.625599
608,268,636.54936
603,366,637.532009
1414,946,640.766058
1349,536,643.054522
237,130,643.408741
1036,621,645.510841
247,110,645.769076
248,118,646.154579
1337,784,648.457814
736,284,649.355917
1145,726,651.659204
612,276,652.428111
651,326,653.611384
251,112,653.892631
251,114,654.421585
608,276,655.17643
1041,536,657.013686
1049,460,658.450362
613,296,659.336285
607,252,660.046386
624,346,661.129556
737,702,663.260886
249,106,663.626082
624,338,664.554363
1045,545,666.485359
1924,786,668.81311
629,332,670.122175
1342,718,672.135138
1422,852,675.010063
612,442,676.457569
717,668,678.67766
625,318,679.623409
1683,976,682.854291
626,358,683.922298
1054,510,685.384438
